fixture_id,team_id,team,opponent_id,opponent,date,opp_n_prior,h2h_n_prior,h2h_last3_winrate,h2h_last3_margin,opp_concede_tries,opp_concede_metres,opp_concede_db,opp_concede_breaks,opp_concede_offloads,opp_concede_passes,opp_concede_lineout_steal,opp_concede_scrums,opp_turnovers_conceded,opp_missed_tackles,opp_runs,opp_tackles,opp_possession,opp_pens_conceded,opp_scrum_success,opp_scrums_won,opp_lineout_success,opp_lineout_steal,team_wr_pos,team_wr_pts,opp_wr_pos,opp_wr_pts,wr_pts_gap,wr_rank_gap
8428795,1667,England,2873,Italy,2024-02-03,15,3,1.0,24.333333333333332,4.064617125061353,443.12512918769886,24.20025185395484,5.4266811081507695,8.58604193486469,149.9122785206137,1.436996054957192,4.790139549436944,14.226872400110972,24.20025185395484,122.32841616553375,142.5567660322711,0.5152096887482417,10.775103754464244,0.7674213378560502,6.064393982523125,0.8807366344970919,0.3780434135455031,5,85.45761900222307,11,75.93068631037083,9.526932691852238,6
8428804,1517,Wales,2117,Scotland,2024-02-03,15,3,0.6666666666666666,-8.0,2.420579096239988,444.884164229685,14.170151394046993,3.74591557658968,6.7978904626778,173.07236871170997,0.9863048778727557,3.531336962975604,12.302674626248587,14.170151394046993,121.30370711989885,169.04553070486529,0.5033772739731935,11.041775511029726,0.7481777439616875,5.104956413235657,0.819078926615036,1.3378459630624355,8,80.64169686544395,6,83.42593285818039,-2.7842359927364413,-2
8428804,2117,Scotland,1517,Wales,2024-02-03,15,3,0.3333333333333333,8.0,3.6369351735016084,445.2911288177879,25.275603458384364,7.518040677368921,5.8722442138603235,150.26728354605658,0.90620716364633,5.739370304787954,11.426374388921547,25.275603458384364,117.67075359555692,151.41453620609644,0.4968467406656353,12.241361598910302,0.7359347321834772,4.3138584487712,0.8611532511749689,1.028168344888162,6,83.42593285818039,8,80.64169686544395,2.7842359927364413,2
8428813,2117,Scotland,1967,France,2024-02-10,16,3,0.3333333333333333,-3.3333333333333335,4.318990525531238,411.4200320555648,19.519321570459212,5.299901015011852,4.2523489890421775,178.30023358699512,1.4976816573673823,4.915346627925264,12.63023998701809,19.519321570459212,96.91300307129299,147.1953845033244,0.44561205375645363,8.632618272458894,0.9573184275514708,2.5180353274189597,0.8116759675570525,0.21089145446887597,6,84.44750925890675,4,86.27510203545444,-1.8275927765476894,-2
8428813,1967,France,2117,Scotland,2024-02-10,16,3,0.6666666666666666,3.3333333333333335,3.562432934071019,451.47452404738254,17.661925596681126,5.375522316337698,5.498092467145895,187.47919479033527,1.7191631443652617,3.1472030383765124,6.300195576063244,17.661925596681126,121.08413984710441,163.22895572420785,0.472017358042598,14.626359992646016,0.5253784009625961,4.306120132111664,0.711301231581455,2.539512321678571,4,86.27510203545444,6,84.44750925890675,1.8275927765476894,2
8428822,1667,England,1517,Wales,2024-02-10,16,3,0.6666666666666666,0.3333333333333333,3.1760376675755317,402.38702407911126,16.39276066199326,5.695942108625309,8.859160977217414,139.94322597114387,2.4213125249910132,4.480731327525343,11.117842374015954,16.39276066199326,133.82858944004047,154.00904093585328,0.5280731989101174,6.2777672420615005,0.7461126076196518,3.3631273424178447,0.7445399212342033,1.7314028413575684,5,85.80492573303783,8,79.62012046471759,6.184805268320247,3
8428822,1517,Wales,1667,England,2024-02-10,16,3,0.3333333333333333,-0.3333333333333333,3.1732760449938606,363.06444482635305,21.05486784361167,6.126538929868991,8.48904280495618,146.04160796576713,0.8782470962117618,5.704430341188714,11.038484487060165,21.05486784361167,118.27364197112469,119.96705252727067,0.5440330741990883,8.450423800086378,0.5911757812370311,2.9011826022210956,0.9191624726132016,1.4621526928788573,8,79.62012046471759,5,85.80492573303783,-6.184805268320247,-3
8428831,1817,Ireland,2873,Italy,2024-02-11,16,3,1.0,27.0,2.5718012464204763,368.5607809268978,24.778507607449253,4.3951231567261715,5.270116605476804,149.97570530117085,1.8440745484441547,2.7727366264133364,11.89369095994903,24.778507607449253,104.73782006263019,156.61514424043054,0.4608295248775788,10.937714382026735,0.8343600913877542,6.017834086050026,0.8223602273161712,0.8277474563989496,2,92.10678374954988,11,75.58337957955605,16.523404169993825,9
8428831,2873,Italy,1817,Ireland,2024-02-11,16,3,0.0,-27.0,1.770671207871506,354.4435970043989,20.947315251300804,4.579658186861017,7.126679689335382,130.83133238402885,0.17818571125076757,2.850445141374031,8.653691718261294,20.947315251300804,119.03590356121684,122.91215647088094,0.5494650798153564,11.023907487114709,0.6659090055447712,4.760377075120633,0.9609949511083554,1.7687002767637778,11,75.58337957955605,2,92.10678374954988,-16.523404169993825,-9
8428840,1817,Ireland,1517,Wales,2024-02-24,17,3,0.6666666666666666,13.666666666666666,2.6668015687591993,351.9902759740319,18.38774147892276,5.394592199375397,5.456065492819837,123.51342877775521,1.372859930114961,5.571599916187108,11.932835493062429,18.38774147892276,127.40766156877372,131.4886048651678,0.5462279240618003,5.724481217742121,0.6698540831444202,3.638899587246132,0.8031954932094242,0.9816880552401299,2,92.10678374954988,8,79.53860099154961,12.568182758000262,6
