key,slug,nationality,age,position,height_cm,weight_kg
m|sykes,marshall-sykes,Scotland,26,Lock,200,121
m|pagerelo,martin-page-relo,Italy,27,Scrum Half,173,77
m|grady,mason-grady,Wales,24,Centre,196,110
m|currie,matt-currie,Scotland,25,Centre,191,95
m|fagerson,matt-fagerson,Scotland,27,Back Row,186,110
m|gallagher,matt-gallagher,Italy,29,Outside Back,185,96
m|canali,matteo-canali,Italy,27,Lock,198,118
m|jalibert,matthieu-jalibert,France,27,Fly Half,184,84
m|lebel,matthis-lebel,France,27,Outside Back,184,91
m|llewellyn,max-llewellyn,Wales,27,Centre,195,105
m|malins,max-malins,England,29,Outside Back,180,88
m|ojomoh,max-ojomoh,England,25,Centre,181,98
m|williamson,max-williamson,Scotland,23,Lock,201,122
m|lamothe,maxime-lamothe,France,27,Hooker,183,109
m|lucu,maxime-lucu,France,33,Scrum Half,177,83
m|jaminet,melvyn-jaminet,France,26,Outside Back,180,80
m|milne,michael-milne,Ireland,27,Prop,183,115
m|lamaro,michele-lamaro,Italy,28,Back Row,186,102
m|guillard,mickael-guillard,France,25,Lock,197,108
m|spagnolo,mirco-spagnolo,Italy,25,Prop,186,110
m|haouas,mohammed-haouas,,32,Prop,185,127
m|ioane,monty-ioane,Italy,31,Outside Back,180,93
m|hasa,muhamed-hasa,Italy,24,Prop,183,125
m|walker,murphy-walker,Scotland,26,Prop,185,115
n|doak,nathan-doak,Northern Ireland,24,Scrum Half,185,87
n|mcbeth,nathan-mcbeth,Scotland,28,Prop,190,118
n|cannone,niccolo-cannone,Italy,28,Lock,195,120
n|isiekwe,nick-isiekwe,England,28,Lock,200,120
n|timoney,nick-timoney,Ireland,30,Back Row,188,114
n|tompkins,nick-tompkins,,31,Centre,181,85
n|smith,nicky-smith,,31,Prop,183,116
n|depoortere,nicolas-depoortere,France,23,Centre,193,94
n|legarrec,nolann-le-garrec,France,24,Scrum Half,175,75
o|jager,oli-jager,Ireland,27,Prop,192,128
o|chessum,oliver-chessum,England,25,Back Row,201,118
o|hassellcollins,ollie-hassell-collins,England,27,Outside Back,192,99
o|lawrence,ollie-lawrence,England,26,Centre,180,99
o|sleightholme,ollie-sleightholme,England,26,Outside Back,181,93
o|smith,ollie-smith,Scotland,25,Outside Back,188,90
o|cracknell,olly-cracknell,Wales,32,Back Row,190,115
o|beard,oscar-beard,England,24,Centre,186,101
o|jegou,oscar-jegou,France,23,Back Row,190,90
o|farrell,owen-farrell,England,34,Fly Half,188,92
o|watkin,owen-watkin,Wales,29,Centre,188,100
o|williams,owen-williams,Wales,34,Fly Half,185,97
p|dimcheff,pablo-dimcheff,Argentina,26,Hooker,181,104
p|garbisi,paolo-garbisi,Italy,26,Fly Half,182,88
p|odogwu,paolo-odogwu,Italy,29,Outside Back,175,98
p|harrison,patrick-harrison,Scotland,23,Hooker,177,108
p|gabrillagues,paul-gabrillagues,France,33,Lock,199,119
p|willemse,paul-willemse,France,33,Lock,201,125
p|mauvaka,peato-mauvaka,France,29,Hooker,184,124
p|omahony,peter-omahony,Ireland,36,Back Row,191,107
p|boudehent,pierre-boudehent,France,28,Outside Back,196,107
p|bourgarit,pierre-bourgarit,France,28,Hooker,184,105
p|bruno,pierre-bruno,Italy,29,Outside Back,181,83
p|barassi,pierre-louis-barassi,France,28,Centre,188,102
p|schoeman,pierre-schoeman,Scotland,32,Prop,180,118
p|ceccarelli,pietro-ceccarelli,Italy,34,Prop,184,118
p|tuilagi,posolo-tuilagi,France,21,Lock,192,149
r|quirke,rafi-quirke,England,24,Scrum Half,178,83
r|wardi,reda-wardi,France,30,Prop,185,110
r|montagne,regis-montagne,,25,Fullback,186,132
r|morganwilliams,reuben-morgan-williams,Wales,28,Scrum Half,178,84
r|williams,rhodri-williams,Wales,33,Scrum Half,176,81
r|carre,rhys-carre,Wales,28,Prop,191,131
r|davies,rhys-davies,Wales,27,Lock,198,114
r|patchell,rhys-patchell,Wales,33,Fly Half,190,92
r|webb,rhys-webb,,37,Scrum Half,183,91
r|favretto,riccardo-favretto,Italy,24,Lock,200,110
r|gray,richie-gray,Scotland,36,Lock,208,126
r|dyer,rio-dyer,Wales,26,Outside Back,187,90
r|herring,rob-herring,Ireland,35,Hooker,185,105
r|henshaw,robbie-henshaw,,33,Centre,191,99
r|baloucoune,robert-baloucoune,Northern Ireland,28,Outside Back,193,89
r|neti,rodrigue-neti,France,31,Prop,185,124
r|ntamack,romain-ntamack,France,27,Fly Half,186,86
r|taofifenua,romain-taofifenua,France,35,Lock,200,127
r|kelleher,ronan-kelleher,,28,Hooker,183,105
r|darge,rory-darge,Scotland,26,Back Row,186,102
r|hutchinson,rory-hutchinson,Scotland,30,Centre,181,89
r|sutherland,rory-sutherland,Scotland,33,Prop,183,119
r|byrne,ross-byrne,Ireland,31,Fly Half,193,95
r|vintcent,ross-vintcent,Italy,24,Back Row,185,98
r|baird,ryan-baird,Ireland,26,Lock,198,113
r|elias,ryan-elias,,31,Hooker,185,112
r|woodman,ryan-woodman,Wales,22,Back Row,196,107
s|costelow,sam-costelow,Wales,25,Fly Half,175,85
s|prendergast,sam-prendergast,Ireland,23,Outside Back,194,91
s|skinner,sam-skinner,,31,Lock,196,116
s|underhill,sam-underhill,England,29,Back Row,186,106
s|wainwright,sam-wainwright,Wales,28,Prop,188,121
s|locatelli,samuele-locatelli,Italy,24,Back Row,187,105
s|baldwin,scott-baldwin,,37,Hooker,190,114
s|cummings,scott-cummings,Scotland,29,Lock,198,116
s|stephen,seb-stephen,,20,Hooker,0,0
s|negri,sebastian-negri-da-ollegio,Italy,31,Back Row,195,108
