season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2022,1266,Six Nations,1,8289799,2022-02-06,Italy,2873,France,1967,away,10,37,L,-27,1,5,1,3,1,2,0,0,0.12,31,264,39,2,1,7,30,0.88,1,2,14,0,2,2,0,0,0,0,23,1,97,0.38,0.46,10,1,0.43,0,0,5,73,68,80,0,1.0,6,158,17,3,0
2022,1266,Six Nations,2,8289808,2022-02-12,Wales,1517,Scotland,2117,home,20,17,W,3,1,1,0,0,4,4,1,0,0.1,61,463,50,1,0,13,37,1.0,0,0,12,1,9,8,1,0,1,1,25,4,146,0.48,0.52,8,4,0.5,0,0,3,103,100,124,0,0.67,4,176,7,7,0
2022,1266,Six Nations,2,8289808,2022-02-12,Scotland,2117,Wales,1517,away,17,20,L,-3,1,1,0,0,4,4,0,1,0.9,68,466,51,5,0,25,28,1.0,0,0,12,0,5,5,1,0,1,0,13,7,178,0.52,0.48,13,4,0.5,0,0,5,114,109,131,0,0.57,4,161,11,5,1
2022,1266,Six Nations,2,8289817,2022-02-12,France,1967,Ireland,1817,home,30,24,W,6,2,3,1,3,6,1,0,0,0.8,57,334,33,3,1,16,32,0.86,1,2,12,0,1,1,0,0,1,0,11,8,125,0.52,0.43,7,6,0.47,0,0,4,83,79,101,0,1.0,5,119,12,7,0
2022,1266,Six Nations,2,8289817,2022-02-12,Ireland,1817,France,1967,away,24,30,L,-6,3,2,3,1,1,6,0,0,0.2,54,355,49,3,3,11,32,0.87,0,2,13,0,6,6,1,0,0,0,16,7,157,0.48,0.57,10,1,0.53,0,0,5,87,82,112,0,1.0,3,134,18,7,0
2022,1266,Six Nations,2,8289826,2022-02-13,Italy,2873,England,1667,home,0,33,L,-33,0,5,0,4,0,0,0,0,0.28,39,288,30,5,0,10,24,0.85,1,3,17,1,8,7,0,0,0,0,19,8,127,0.31,0.51,12,0,0.41,0,0,5,67,62,82,2,0.77,10,178,13,7,0
2022,1266,Six Nations,2,8289826,2022-02-13,England,1667,Italy,2873,away,33,0,W,33,5,0,4,0,0,0,0,0,0.72,96,691,33,10,4,19,21,0.88,3,2,15,1,8,7,1,0,1,0,10,9,208,0.69,0.49,12,0,0.59,0,0,4,112,108,144,0,1.0,4,96,20,8,0
2022,1266,Six Nations,3,8289835,2022-02-26,Scotland,2117,France,1967,home,17,36,L,-19,2,6,2,3,1,0,0,0,0.63,79,596,36,3,2,25,11,0.93,1,1,14,1,4,3,0,0,0,0,19,5,190,0.55,0.61,12,1,0.58,0,0,9,104,95,135,1,0.67,6,68,16,7,0
2022,1266,Six Nations,3,8289835,2022-02-26,France,1967,Scotland,2117,away,36,17,W,19,6,2,3,2,0,1,0,0,0.37,49,453,20,6,3,19,26,0.92,0,1,12,0,9,9,1,0,3,2,25,10,97,0.45,0.39,9,0,0.42,0,0,4,41,37,75,0,0.78,7,153,13,11,0
2022,1266,Six Nations,3,8289844,2022-02-26,England,1667,Wales,1517,home,23,19,W,4,1,3,0,2,6,0,0,0,0.07,70,414,47,2,0,19,24,0.75,2,2,6,0,2,2,1,0,1,1,20,6,162,0.6,0.4,13,6,0.49,0,0,3,113,110,132,1,0.6,3,164,12,9,0
