family,slate,competition,season,round,engine,n,mae,team_points,xv,captain_bonus,substitute,label_error,raw_error,roster_errors
rolling,six_nations_2025_r3,six_nations,2025,3,p3_weighted,136,7.354408197586485,412.0,373.0,36.0,3.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r3,six_nations,2025,3,p3_robust,136,7.268982954310894,439.0,400.0,36.0,3.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r4,six_nations,2025,4,empirical_baseline,137,7.608459917889269,541.0,405.0,28.0,108.0,0.0,,
rolling,six_nations_2025_r4,six_nations,2025,4,p3_rolling,137,7.6492250835345725,455.0,393.0,14.0,48.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r4,six_nations,2025,4,p3_weighted,137,7.753675813017218,480.0,392.0,40.0,48.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r4,six_nations,2025,4,p3_robust,137,7.7134851364655725,501.0,392.0,28.0,81.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r5,six_nations,2025,5,empirical_baseline,136,7.487763496417739,534.0,432.0,36.0,66.0,0.0,,
rolling,six_nations_2025_r5,six_nations,2025,5,p3_rolling,136,7.34126059729645,503.0,401.0,36.0,66.0,0.0,3.552713678800501e-15,
rolling,six_nations_2025_r5,six_nations,2025,5,p3_weighted,136,7.442792515740492,535.0,379.0,36.0,120.0,0.0,7.105427357601002e-15,
rolling,six_nations_2025_r5,six_nations,2025,5,p3_robust,136,7.466725585686308,511.0,409.0,36.0,66.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r1,six_nations,2026,1,empirical_baseline,131,8.087927286391025,505.0,450.0,46.0,9.0,0.0,,
rolling,six_nations_2026_r1,six_nations,2026,1,p3_rolling,131,8.007868640701258,449.0,416.0,30.0,3.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r1,six_nations,2026,1,p3_weighted,131,7.982280137438674,512.0,479.0,30.0,3.0,0.0,3.552713678800501e-15,
rolling,six_nations_2026_r1,six_nations,2026,1,p3_robust,131,7.785655169456311,490.0,451.0,30.0,9.0,0.0,3.552713678800501e-15,
rolling,six_nations_2026_r1,six_nations,2026,1,p3_tournament_frozen,131,8.007868640701258,449.0,416.0,30.0,3.0,0.0,,
rolling,six_nations_2026_r2,six_nations,2026,2,p3_tournament_frozen,131,7.604101083249306,561.0,462.0,33.0,66.0,0.0,,
rolling,six_nations_2026_r3,six_nations,2026,3,p3_tournament_frozen,136,7.384187833046528,457.0,374.0,41.0,42.0,0.0,,
rolling,six_nations_2026_r4,six_nations,2026,4,p3_tournament_frozen,135,7.129257778411742,422.0,374.0,21.0,27.0,0.0,,
rolling,six_nations_2026_r5,six_nations,2026,5,p3_tournament_frozen,135,6.907838876225729,521.0,449.0,30.0,42.0,0.0,,
rolling,six_nations_2026_r2,six_nations,2026,2,empirical_baseline,131,7.425845331495109,547.0,433.0,48.0,66.0,0.0,,
rolling,six_nations_2026_r2,six_nations,2026,2,p3_rolling,131,7.568688713822304,561.0,462.0,33.0,66.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r2,six_nations,2026,2,p3_weighted,131,7.5646296532530215,561.0,462.0,33.0,66.0,0.0,3.552713678800501e-15,
rolling,six_nations_2026_r2,six_nations,2026,2,p3_robust,131,7.517714809929402,559.0,460.0,33.0,66.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r3,six_nations,2026,3,empirical_baseline,136,7.606811556097491,460.0,350.0,56.0,54.0,0.0,,
rolling,six_nations_2026_r3,six_nations,2026,3,p3_rolling,136,7.550400869639411,481.0,377.0,56.0,48.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r3,six_nations,2026,3,p3_weighted,136,7.575763782225977,466.0,377.0,41.0,48.0,0.0,1.0658141036401503e-14,
rolling,six_nations_2026_r3,six_nations,2026,3,p3_robust,136,7.468153684951372,481.0,377.0,56.0,48.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r4,six_nations,2026,4,empirical_baseline,135,7.0081066667303515,518.0,464.0,45.0,9.0,0.0,,
rolling,six_nations_2026_r4,six_nations,2026,4,p3_rolling,135,7.1255095527931065,400.0,377.0,14.0,9.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r4,six_nations,2026,4,p3_weighted,135,7.127721308309484,434.0,393.0,14.0,27.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r4,six_nations,2026,4,p3_robust,135,7.037947328244596,420.0,397.0,14.0,9.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r5,six_nations,2026,5,empirical_baseline,135,6.817664958306432,518.0,470.0,30.0,18.0,0.0,,
rolling,six_nations_2026_r5,six_nations,2026,5,p3_rolling,135,6.854418809807075,554.0,468.0,44.0,42.0,0.0,3.552713678800501e-15,
rolling,six_nations_2026_r5,six_nations,2026,5,p3_weighted,135,6.79650556091522,536.0,464.0,30.0,42.0,0.0,7.105427357601002e-15,
rolling,six_nations_2026_r5,six_nations,2026,5,p3_robust,135,6.822940023389212,555.0,469.0,44.0,42.0,0.0,7.105427357601002e-15,
