id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
252801,Kazuma Ueda,Japan,2,Back Three,3.5,0.3,P,Ireland,True,4,1751,-19.8,0.998,12.17,80.0,17.23952113270238,8.61976056635119,1.3374122114965468
185293,Len Ikitau,Australia,2,Centre,6.5,7.6,P,France,True,52,2980,-4.9,1.0,15.78,74.9,21.015166371531315,10.507583185765657,1.404029078454614
117823,Matias Alemanno,Argentina,2,Lock,6.0,2.2,P,Wales,True,39,2411,20.2,1.0,11.08,61.6,15.94044886900683,7.970224434503415,-0.34486130943024956
127095,Santiago Grondona,Argentina,2,Loose Forward,5.5,1.0,P,Wales,True,28,1689,20.2,1.0,12.96,63.0,17.760535214470725,8.880267607235362,0.24688821397828214
229857,Jeremy Williams,Australia,2,Lock,5.5,6.8,P,France,True,26,2519,-4.9,1.0,12.76,69.0,16.594827122915937,8.297413561457969,-0.19035151428581887
203381,James Ryan,Ireland,1,Lock,5.5,5.6,P,Japan,False,59,2829,19.8,0.998,8.72,62.6,15.180797845973023,7.590398922986512,-0.5390605052017213
120076,Michael Leitch,Japan,2,Loose Forward,5.0,0.5,B,Ireland,True,28,2470,-19.8,0.998,19.32,29.3,6.906257546850845,20.718772640552533,-1.2458697130032181
195298,Jamie Dobie,Scotland,1,Scrum Half,5.0,4.1,P,South Africa,False,21,2165,-25.7,1.0,16.59,72.3,21.590204269055405,10.795102134527703,0.8914146947601105
243508,Tom Jordan,Scotland,1,Centre,4.5,3.0,B,South Africa,False,19,3567,-25.7,1.0,15.03,14.1,3.9828199727215643,11.948459918164692,-1.6147213390015147
156422,Josh Nasser,Australia,2,Hooker,4.0,3.8,P,France,True,13,945,-4.9,1.0,22.2,52.4,16.542447900026282,8.271223950013141,-0.28496096681831373
202570,Tom Staniforth,France,1,Lock,3.5,4.9,B,Australia,False,1,2015,4.9,1.0,14.19,22.3,3.819095628867026,11.457286886601079,-2.2568583789927077
196853,Thomas Clarkson,Ireland,1,Prop,3.5,0.3,P,Japan,False,15,0,19.8,0.998,12.35,53.5,17.123261513484753,8.561630756742376,-0.5988269237900988
229690,Jan-Hendrik Wessels,South Africa,2,Prop,3.5,1.0,B,Scotland,True,11,1657,25.7,1.0,14.52,21.9,5.593093563859004,16.77928069157701,-2.29094289649375
143492,Damian McKenzie,New Zealand,2,Fly Half,8.5,11.9,P,Italy,True,53,2888,33.5,0.962,29.58,77.7,23.705472116607417,11.852736058303709,2.5012865552501076
129616,Fraser McReight,Australia,2,Loose Forward,7.0,19.8,P,France,True,40,3080,-4.9,1.0,19.86,75.9,22.491603689472758,11.245801844736379,1.156332240512196
134796,Joe Heyes,England,1,Prop,6.5,2.9,P,Fiji,False,23,3006,2.8,1.0,13.42,61.4,14.144669361535446,7.072334680767723,-1.0020671052615278
189982,Santiago Carreras,Argentina,2,Back Three,6.5,13.9,P,Wales,True,62,3844,20.2,1.0,19.34,69.9,25.535772425899644,12.767886212949822,2.8972066286227074
110170,Kyle Steyn,Scotland,1,Back Three,6.5,12.3,P,South Africa,False,33,3388,-25.7,1.0,17.98,74.3,24.175129675196906,12.087564837598453,2.7951629891782432
241794,Wallace Sititi,New Zealand,2,Loose Forward,6.5,4.8,P,Italy,True,20,1343,33.5,0.962,24.64,70.9,29.630058295036243,14.815029147518121,3.155459886102265
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,P,Japan,False,54,1820,19.8,0.998,20.11,56.9,21.37247668899233,10.686238344496164,0.5961363198968526
143048,Allan Alaalatoa,Australia,2,Prop,5.5,4.9,P,France,True,52,1490,-4.9,1.0,16.15,53.8,13.961255342216994,6.980627671108497,-1.1183522204595657
226250,Isoa Nasilasila,Fiji,2,Lock,4.5,3.6,P,England,True,31,2534,-2.8,1.0,8.36,72.1,15.235340273109294,7.617670136554647,-0.40941081390916934
189326,Marcus Smith,England,1,Fly Half,4.5,2.2,P,Fiji,False,60,3883,2.8,1.0,22.38,76.0,22.601912499744536,11.300956249872268,2.6112898735518844
178772,Gonzalo Garcia,Argentina,2,Scrum Half,4.0,1.8,P,Wales,True,18,1537,20.2,1.0,12.63,54.1,20.95714966166065,10.478574830830325,0.9182836053820201
108021,Jefferson Poirot,France,1,Prop,4.0,2.7,B,Australia,False,1,2912,4.9,1.0,14.37,24.2,3.89017320880392,11.67051962641176,-2.6898054186375013
123723,Danilo Fischetti,Italy,1,Prop,5.5,15.7,P,New Zealand,False,59,2483,-33.5,0.962,17.68,56.1,13.321474871405139,6.660737435702569,-1.3766632840694368
136947,Brandon Paenga-Amosa,Australia,2,Hooker,4.0,0.3,B,France,True,25,1564,-4.9,1.0,18.19,20.2,6.97537303714696,20.926119111440883,-1.8386961726036264
239229,Hugo Auradou,France,1,Lock,4.0,4.0,B,Australia,False,13,3206,4.9,1.0,9.62,17.5,2.840900352250589,8.522701056751767,-2.8708539992048268
144545,Ben Carter,Wales,1,Lock,4.0,1.0,P,Argentina,False,20,2563,-20.2,1.0,17.32,64.3,16.436972482073504,8.218486241036752,-0.3563031200078878
166930,Peni Ravai Kovekalou,Fiji,2,Prop,3.5,0.5,B,England,True,23,0,-2.8,1.0,12.94,27.4,4.717291649622496,14.151874948867487,-2.4359144758872855
208272,Niccolo Cannone,Italy,1,Lock,6.5,7.7,P,New Zealand,False,59,2924,-33.5,0.962,14.91,72.0,16.045421315466896,8.022710657733448,-0.6345938519762512
200003,Pablo Matera,Argentina,2,Loose Forward,6.5,11.6,B,Wales,True,57,2413,20.2,1.0,16.49,21.9,4.925947510198635,14.777842530595905,-1.7497160062719095
214124,James Botham,Wales,1,Loose Forward,6.0,0.3,P,Argentina,False,22,1565,-20.2,1.0,21.51,73.4,24.02811546713228,12.01405773356614,1.466698758316463
215963,Guido Petti,Argentina,2,Lock,5.5,4.1,P,Wales,True,46,0,20.2,1.0,9.69,69.1,18.296196041130212,9.148098020565106,0.23929149003207026
110319,Nicky Smith,Wales,1,Prop,4.5,0.5,B,Argentina,False,29,2646,-20.2,1.0,14.92,33.1,5.481352635121747,16.44405790536524,-2.30630419158039
113765,Peceli Yato,Fiji,2,Loose Forward,4.0,0.4,P,England,True,6,2567,-2.8,1.0,17.15,64.2,22.246469905590835,11.123234952795418,1.014774950376357
109648,Seb Atkinson,England,1,Centre,4.0,1.1,P,Fiji,False,5,0,2.8,1.0,15.29,77.2,19.38610561256627,9.693052806283134,0.7240526788130284
251438,Keijiro Tamefusa,Japan,2,Prop,3.0,0.1,B,Ireland,True,22,1373,-19.8,0.998,17.08,18.1,5.779204686121046,17.337614058363137,-2.2964122823095856
237271,Eddie James,Wales,1,Centre,5.0,0.7,P,Argentina,False,11,2180,-20.2,1.0,11.68,71.0,19.016933929749108,9.508466964874554,0.1006240201405838
113737,Jack van Poortvliet,England,1,Scrum Half,4.0,0.9,P,Fiji,False,25,2565,2.8,1.0,14.93,54.7,16.709557897528942,8.354778948764471,-0.2815599068917912
172284,Muhamed Hasa,Italy,1,Prop,3.5,0.1,B,New Zealand,False,9,2055,-33.5,0.962,14.28,28.5,5.531577850112522,16.594733550337565,-2.566186276293368
150038,Tyrel Lomax,New Zealand,2,Prop,5.0,1.5,P,Italy,True,48,1327,33.5,0.962,9.78,55.2,16.03073451210986,8.01536725605493,-0.7665549706696468
118619,Sam Costelow,Wales,1,Fly Half,4.0,0.1,P,Argentina,False,23,1852,-20.2,1.0,16.23,59.9,37.19998213252913,18.599991066264565,3.5644227573840026
151974,Billy Proctor,New Zealand,2,Centre,6.0,0.4,P,Italy,True,12,2641,33.5,0.962,22.18,71.5,21.57875342074197,10.789376710370984,1.7823840743937258
237233,Ross Vintcent,Italy,1,Loose Forward,4.5,6.2,P,New Zealand,False,20,1764,-33.5,0.962,23.69,70.4,28.13181367778956,14.06590683889478,2.399603850443962
245177,Tiennan Costley,Japan,2,Loose Forward,4.5,0.2,B,Ireland,True,12,2962,-19.8,0.998,20.85,15.3,6.616900059220949,19.850700177662848,-1.370505298456912
