season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2021,2202,Autumn Nations Cup,3,3285304,2020-11-28,Italy,2873,France,1967,away,5,36,L,-31,1,5,0,4,0,1,0,0,0.12,40.0,282.0,66.0,1.0,0.0,7.0,43.0,0.8,1.0,2.0,,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,6.0,156.0,0.64,0.41,8.0,0.0,0.52,0.0,0.0,4.0,95.0,91.0,109.0,1.0,0.8,4.0,100.0,14.0,6.0,1.0
2021,2202,Autumn Nations Cup,3,3285313,2020-11-29,Ireland,1817,Georgia,8567,home,23,10,W,13,2,1,2,1,3,1,0,0,0.89,64.0,383.0,63.0,5.0,2.0,19.0,24.0,1.0,3.0,0.0,,16.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,2.0,201.0,0.7,0.75,10.0,3.0,0.72,0.0,0.0,5.0,106.0,101.0,129.0,2.0,0.83,10.0,62.0,12.0,8.0,0.0
2021,2202,Autumn Nations Cup,4,3285394,2020-12-05,Italy,2873,Wales,1517,away,18,38,L,-20,2,5,1,5,2,1,0,0,0.47,34.0,375.0,66.0,8.0,1.0,13.0,24.0,0.67,2.0,4.0,,8.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,26.0,7.0,128.0,0.43,0.48,10.0,2.0,0.45,0.0,0.0,6.0,88.0,82.0,105.0,0.0,1.0,4.0,162.0,11.0,6.0,0.0
2021,2202,Autumn Nations Cup,4,3285394,2020-12-05,Wales,1517,Italy,2873,home,38,18,W,20,5,2,5,1,1,2,0,0,0.53,57.0,465.0,65.0,13.0,5.0,26.0,31.0,0.82,4.0,2.0,,9.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,5.0,182.0,0.57,0.52,12.0,1.0,0.55,0.0,0.0,3.0,109.0,106.0,128.0,0.0,1.0,1.0,108.0,13.0,4.0,1.0
2021,2202,Autumn Nations Cup,4,3285385,2020-12-05,Scotland,2117,Ireland,1817,away,16,31,L,-15,1,3,1,2,3,4,0,0,0.12,42.0,236.0,48.0,6.0,1.0,20.0,19.0,1.0,1.0,0.0,,9.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,13.0,4.0,122.0,0.43,0.35,15.0,3.0,0.39,0.0,0.0,1.0,78.0,77.0,93.0,0.0,1.0,1.0,160.0,12.0,2.0,1.0
2021,2208,2020 Tri Nations,6,26548,2020-12-05,Argentina,2417,Australia,317,away,16,16,D,0,1,1,1,1,3,3,0,0,0.28,17.0,202.0,24.0,3.0,1.0,13.0,30.0,0.77,0.0,3.0,,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,0.29,0.32,15.0,3.0,0.3,0.0,0.0,3.0,34.0,31.0,42.0,1.0,0.86,6.0,133.0,13.0,10.0,2.0
2021,2202,Autumn Nations Cup,4,3285376,2020-12-05,Fiji,2879,Georgia,8567,away,38,24,W,14,6,3,4,3,0,1,0,0,0.23,50.0,241.0,38.0,6.0,4.0,25.0,21.0,0.78,0.0,2.0,,7.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,17.0,5.0,94.0,0.42,0.57,11.0,0.0,0.5,0.0,0.0,6.0,79.0,73.0,92.0,0.0,1.0,7.0,113.0,12.0,8.0,0.0
2021,2208,2020 Tri Nations,6,26548,2020-12-05,Australia,317,Argentina,2417,home,16,16,D,0,1,1,1,1,3,3,0,0,0.72,52.0,240.0,52.0,0.0,1.0,15.0,27.0,0.95,2.0,1.0,,19.0,0.0,7.0,7.0,4.0,1.0,0.0,1.0,13.0,3.0,127.0,0.71,0.68,8.0,3.0,0.7,0.0,1.0,4.0,86.0,82.0,107.0,0.0,1.0,8.0,45.0,17.0,5.0,1.0
2021,2202,Autumn Nations Cup,4,3285385,2020-12-05,Ireland,1817,Scotland,2117,home,31,16,W,15,3,1,2,1,4,3,0,0,0.88,55.0,280.0,68.0,5.0,2.0,13.0,28.0,0.92,0.0,1.0,,12.0,0.0,6.0,6.0,1.0,0.0,1.0,1.0,20.0,2.0,155.0,0.57,0.65,10.0,4.0,0.61,0.0,0.0,3.0,111.0,108.0,124.0,1.0,0.88,7.0,118.0,4.0,4.0,0.0
2021,2202,Autumn Nations Cup,4,3285403,2020-12-06,England,1667,France,1967,home,22,19,W,3,1,1,1,1,5,4,0,0,0.51,57.0,521.0,63.0,4.0,1.0,18.0,48.0,0.87,1.0,2.0,,13.0,1.0,8.0,7.0,0.0,0.0,0.0,4.0,21.0,7.0,164.0,0.4,0.63,9.0,5.0,0.51,0.0,0.0,8.0,100.0,92.0,125.0,0.0,1.0,4.0,123.0,17.0,4.0,0.0
