season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2022,1242,Super Rugby Pacific,5,4707484,2022-03-19,Fijian Drua,1340,Western Force,236,home,18,20,L,-2,2,2,1,2,2,2,0,0,0.11,70,520,46,6,1,29,13,0.57,0,6.0,,8,0,0,0,0,0,1,1,10,19,154,0.56,0.38,11,2,0.46,0,0,2,88,86,128,0,0.8,8,168,17,7,0
2022,1242,Super Rugby Pacific,5,4707484,2022-03-19,Western Force,236,Fijian Drua,1340,away,20,18,W,2,2,2,2,1,2,2,0,0,0.89,80,500,38,2,2,10,19,1.0,2,0.0,,12,0,4,4,0,1,0,1,29,2,180,0.44,0.62,16,2,0.54,0,0,6,122,116,136,2,0.71,5,136,12,4,1
2022,1242,Super Rugby Pacific,5,4707196,2022-03-19,Moana Pasifika,10817,Chiefs,290,home,12,59,L,-47,2,9,1,7,0,0,0,0,0.6,53,308,24,3,1,13,18,0.71,0,2.0,,5,0,2,2,0,0,1,1,25,8,136,0.35,0.49,14,0,0.42,0,0,6,76,70,96,1,0.8,8,148,11,3,1
2022,1242,Super Rugby Pacific,5,4707196,2022-03-19,Chiefs,290,Moana Pasifika,10817,away,59,12,W,47,9,2,7,1,0,0,0,0,0.4,85,538,45,9,7,25,20,0.88,1,2.0,,15,0,6,6,0,1,2,0,13,13,198,0.65,0.51,4,0,0.58,0,0,1,100,99,141,0,0.8,4,119,13,8,0
2022,1242,Super Rugby Pacific,5,4707502,2022-03-19,NSW Waratahs,617,Melbourne Rebels,53,home,24,19,W,5,3,1,3,1,1,4,0,0,0.75,40,254,21,4,3,24,24,0.75,0,3.0,,9,0,3,3,0,0,0,0,22,6,92,0.38,0.39,12,1,0.38,0,0,4,54,50,74,1,0.86,12,173,10,7,0
2022,1242,Super Rugby Pacific,5,4707502,2022-03-19,Melbourne Rebels,53,NSW Waratahs,617,away,19,24,L,-5,1,3,1,3,4,1,0,0,0.25,86,527,34,4,1,22,24,0.8,2,2.0,,8,3,4,1,0,0,0,2,24,17,209,0.62,0.61,12,4,0.62,0,0,3,106,103,138,0,1.0,1,76,20,4,1
2022,1242,Super Rugby Pacific,6,4707601,2022-03-25,ACT Brumbies,467,Western Force,236,away,39,38,W,1,6,4,3,4,1,1,0,0,0.67,71,498,27,8,3,22,24,0.71,1,4.0,,10,0,2,2,0,0,3,0,26,5,155,0.53,0.51,8,1,0.52,0,1,4,86,82,108,0,0.86,6,113,9,7,0
2022,1242,Super Rugby Pacific,6,4707601,2022-03-25,Western Force,236,ACT Brumbies,467,home,38,39,L,-1,4,6,4,3,1,1,0,0,0.33,60,463,30,7,4,26,23,0.89,3,1.0,,8,2,3,1,1,0,0,0,22,4,151,0.47,0.49,6,1,0.48,0,0,4,80,76,97,0,0.83,5,117,14,4,0
2022,1242,Super Rugby Pacific,6,4707565,2022-03-25,Fijian Drua,1340,Melbourne Rebels,53,away,27,42,L,-15,3,5,3,4,2,3,0,0,0.69,92,674,47,8,3,45,6,0.8,0,2.0,,8,0,1,1,0,0,0,0,14,19,188,0.53,0.61,12,2,0.57,0,0,7,107,100,150,0,0.75,3,92,18,4,0
2022,1242,Super Rugby Pacific,6,4707556,2022-03-25,Hurricanes,299,Moana Pasifika,10817,away,19,24,L,-5,3,4,2,2,0,0,0,0,0.58,71,510,41,4,2,26,17,0.95,0,1.0,,18,2,3,1,1,0,1,0,8,7,175,0.75,0.35,11,0,0.56,0,0,9,109,100,132,2,0.58,7,120,16,3,1
2022,1242,Super Rugby Pacific,6,4707556,2022-03-25,Moana Pasifika,10817,Hurricanes,299,home,24,19,W,5,4,3,2,2,0,0,0,0,0.42,62,383,22,2,2,8,24,0.83,0,2.0,,10,0,5,5,0,0,1,0,26,10,124,0.25,0.65,18,0,0.44,0,0,4,77,73,99,1,0.75,6,165,11,11,2
2022,1242,Super Rugby Pacific,6,4707565,2022-03-25,Melbourne Rebels,53,Fijian Drua,1340,home,42,27,W,15,5,3,4,3,3,2,0,0,0.31,46,316,25,5,4,14,18,0.82,2,2.0,,9,0,3,3,0,0,1,0,45,15,134,0.47,0.39,12,3,0.43,0,0,3,62,59,86,0,0.88,7,168,10,9,1
2022,1242,Super Rugby Pacific,6,4707574,2022-03-26,Highlanders,302,Blues,296,home,25,32,L,-7,3,4,2,3,2,2,0,0,0.53,62,409,39,4,2,16,17,0.9,3,1.0,,9,1,6,5,0,0,1,1,24,4,138,0.51,0.61,6,2,0.56,0,0,3,94,91,115,0,1.0,6,72,14,3,0
2022,1242,Super Rugby Pacific,6,4707574,2022-03-26,Blues,296,Highlanders,302,away,32,25,W,7,4,3,3,2,2,2,0,0,0.47,45,399,19,9,3,24,19,0.7,0,3.0,,7,2,5,3,1,0,1,0,16,8,108,0.49,0.39,8,2,0.44,0,0,1,57,56,72,1,0.75,6,126,11,8,0
2022,1242,Super Rugby Pacific,6,4707583,2022-03-26,Chiefs,290,Crusaders,305,home,19,34,L,-15,3,5,2,3,0,1,0,0,0.63,67,407,32,5,2,29,26,0.88,0,1.0,,7,0,1,1,0,0,1,0,22,9,162,0.43,0.51,8,0,0.47,0,0,10,90,80,109,0,1.0,9,126,19,5,0
2022,1242,Super Rugby Pacific,6,4707583,2022-03-26,Crusaders,305,Chiefs,290,away,34,19,W,15,5,3,3,2,1,0,0,0,0.37,66,581,26,3,3,22,35,0.8,1,3.0,,12,0,6,6,1,1,2,0,29,9,184,0.57,0.49,4,1,0.53,0,0,2,86,84,106,0,0.89,8,146,19,11,0
2022,1242,Super Rugby Pacific,6,4707592,2022-03-26,Queensland Reds,767,NSW Waratahs,617,home,32,20,W,12,4,2,3,2,2,2,0,0,0.74,53,487,37,2,3,15,22,0.71,1,5.0,,12,2,4,2,0,0,1,1,20,5,127,0.52,0.46,7,2,0.49,0,1,2,80,78,103,0,1.0,4,134,9,5,1
2022,1242,Super Rugby Pacific,6,4707592,2022-03-26,NSW Waratahs,617,Queensland Reds,767,away,20,32,L,-12,2,4,2,3,2,2,0,0,0.26,60,467,38,7,2,20,22,0.82,4,2.0,,9,0,1,1,0,1,0,0,15,8,195,0.48,0.54,13,2,0.51,0,0,4,90,86,112,2,0.33,2,129,13,5,0
2022,1242,Super Rugby Pacific,7,4707106,2022-03-29,Blues,296,Moana Pasifika,10817,away,32,19,W,13,5,3,2,2,1,0,0,0,0.77,75,514,22,3,2,15,26,0.81,2,3.0,,13,0,6,6,1,1,3,0,11,8,115,0.56,0.5,9,1,0.53,0,1,7,82,75,103,0,1.0,5,106,14,5,0
2022,1242,Super Rugby Pacific,7,4707106,2022-03-29,Moana Pasifika,10817,Blues,296,home,19,32,L,-13,3,5,2,2,0,1,0,0,0.23,47,363,27,2,2,11,27,0.82,1,3.0,,14,1,6,5,1,2,1,0,15,4,103,0.44,0.5,11,0,0.47,0,0,4,65,61,83,1,0.71,5,135,8,4,0
