fantasy_id,full_name,team,skill_desc,value,api_player_id,rp_slug,in_api,in_rp
236606,Leonardo Marin,Italy,FLY-HALF,4.0,231834.0,leonardo-marin,True,True
240478,Gregor Hiddleston,Scotland,HOOKER,4.0,263268.0,gregor-hiddleston,True,True
153525,Rory Sutherland,Scotland,PROP,4.0,134172.0,rory-sutherland,True,True
224905,George Horne,Scotland,SCRUM-HALF,4.0,129792.0,george-horne,True,True
136509,Fergus Burke,Scotland,FLY-HALF,4.0,206712.0,fergus-burke,True,True
188103,Pita Gus Sowakula,Fiji,LOOSE FORWARD,4.0,173826.0,,True,False
245055,Elia Canakaivata,Fiji,LOOSE FORWARD,4.0,207894.0,elia-canakaivata,True,True
216255,Zuriel Togiatama,Fiji,HOOKER,4.0,209904.0,zuriel-togiatama,True,True
113765,Peceli Yato,Fiji,LOOSE FORWARD,4.0,124464.0,peceli-yato,True,True
161973,Simione Kuruvoli,Fiji,SCRUM-HALF,4.0,206814.0,simione-kuruvoli,True,True
144545,Ben Carter,Wales,LOCK,4.0,219996.0,ben-carter,True,True
105892,Adam Beard,Wales,LOCK,4.0,129576.0,adam-beard,True,True
182170,Ryan Elias,Wales,HOOKER,4.0,128574.0,ryan-elias,True,True
143123,Taine Plumtree,Wales,LOOSE FORWARD,4.0,206706.0,taine-plumtree,True,True
136947,Brandon Paenga-Amosa,Australia,HOOKER,4.0,161034.0,brandon-paenga-amosa,True,True
118619,Sam Costelow,Wales,FLY-HALF,4.0,203076.0,sam-costelow,True,True
109783,Marco van Staden,South Africa,LOOSE FORWARD,4.0,156420.0,marco-van-staden,True,True
240452,Cameron Hanekom,South Africa,LOOSE FORWARD,4.0,234816.0,cameron-hanekom,True,True
142211,George Martin,England,LOCK,4.0,213798.0,george-martin,True,True
113737,Jack van Poortvliet,England,SCRUM-HALF,4.0,213786.0,jack-van-poortvliet,True,True
110793,Cadan Murley,England,BACK THREE,4.0,172428.0,cadan-murley,True,True
109648,Seb Atkinson,England,CENTRE,4.0,232032.0,,True,False
130283,Beno Obano,England,PROP,4.0,137016.0,beno-obano,True,True
196415,Charlie Ewels,England,LOCK,4.0,127014.0,charlie-ewels,True,True
240488,Esteban Capilla,France,LOOSE FORWARD,4.0,,esteban-capilla,False,True
219226,Herschel Jantjies,South Africa,SCRUM-HALF,4.0,151464.0,,True,False
110905,Ben-Jason Dixon,South Africa,LOOSE FORWARD,4.0,185646.0,ben-jason-dixon,True,True
244152,Temo Matiu,France,LOOSE FORWARD,4.0,342990.0,temo-matiu,True,True
