id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
233260,Shuhei Takeuchi,Japan,2,Prop,4.0,1.7,P,Ireland,True,25,1749,-19.8,0.998,17.68,60.0,14.64,6.63
131550,Takato Okabe,Japan,2,Prop,3.0,3.6,P,Ireland,True,9,2164,-19.8,0.998,12.62,59.5,10.35,4.69
237803,Kalaveti Ravouvou,Fiji,2,Back Three,6.5,2.4,P,England,True,16,3016,-2.8,1.0,21.07,77.2,22.29,10.17
193134,Nick Timoney,Ireland,1,Loose Forward,5.0,4.9,P,Japan,False,12,3532,19.8,0.998,21.72,62.7,18.78,8.51
103703,Harry Hockings,Japan,2,Lock,4.5,1.3,P,Ireland,True,3,2967,-19.8,0.998,17.37,59.0,14.14,6.41
189190,Maxime Lamothe,France,1,Hooker,4.5,6.4,B,Australia,False,4,3426,4.9,1.0,18.85,25.9,6.72,18.28
107059,Marco Riccioni,Italy,1,Prop,3.5,6.9,P,New Zealand,False,27,2091,-33.5,0.962,13.7,43.4,8.21,3.72
255396,Malik Faissal,Italy,1,Back Three,3.5,2.6,P,New Zealand,False,1,1214,-33.5,0.962,13.85,80.0,15.29,6.93
111475,Josh Lord,New Zealand,2,Lock,6.0,4.1,B,Italy,True,13,1714,33.5,0.962,13.45,31.3,5.82,15.81
120191,Michele Lamaro,Italy,1,Loose Forward,6.0,2.4,P,New Zealand,False,55,3001,-33.5,0.962,15.21,69.8,14.64,6.63
225264,Ruan Nortje,South Africa,2,Lock,6.0,6.0,P,Scotland,True,19,2807,25.7,1.0,10.51,72.6,10.52,4.77
177559,Alex Mitchell,England,1,Scrum Half,5.5,1.1,B,Fiji,False,41,3128,2.8,1.0,15.38,15.1,3.21,8.73
140735,Naoto Saito,Japan,2,Scrum Half,4.5,1.3,P,Ireland,True,28,1367,-19.8,0.998,7.9,67.3,7.33,3.32
224426,Tom OToole,Ireland,1,Prop,4.0,4.9,P,Japan,False,22,2335,19.8,0.998,12.96,57.7,10.31,4.67
251673,Ryunosuke Ito,Japan,2,Fly Half,4.0,0.5,P,Ireland,True,1,178,-19.8,0.998,13.22,80.0,14.59,6.61
144570,Jimmy OBrien,Ireland,1,Back Three,4.0,0.5,P,Japan,False,12,2892,19.8,0.998,16.34,75.4,16.99,7.7
251199,Hayate Era,Japan,2,Hooker,3.5,0.2,B,Ireland,True,8,1099,-19.8,0.998,25.38,23.0,8.05,21.91
252801,Kazuma Ueda,Japan,2,Back Three,3.5,0.3,P,Ireland,True,4,1751,-19.8,0.998,12.17,80.0,13.42,6.08
185293,Len Ikitau,Australia,2,Centre,6.5,7.6,P,France,True,52,2980,-4.9,1.0,15.78,74.9,16.29,7.38
117823,Matias Alemanno,Argentina,2,Lock,6.0,2.2,P,Wales,True,39,2411,20.2,1.0,11.08,61.6,9.4,4.26
127095,Santiago Grondona,Argentina,2,Loose Forward,5.5,1.0,P,Wales,True,28,1689,20.2,1.0,12.96,63.0,11.25,5.1
229857,Jeremy Williams,Australia,2,Lock,5.5,6.8,P,France,True,26,2519,-4.9,1.0,12.76,69.0,12.13,5.5
203381,James Ryan,Ireland,1,Lock,5.5,5.6,P,Japan,False,59,2829,19.8,0.998,8.72,62.6,7.53,3.41
120076,Michael Leitch,Japan,2,Loose Forward,5.0,0.5,B,Ireland,True,28,2470,-19.8,0.998,19.32,29.3,7.82,21.25
195298,Jamie Dobie,Scotland,1,Scrum Half,5.0,4.1,P,South Africa,False,21,2165,-25.7,1.0,16.59,72.3,16.54,7.5
243508,Tom Jordan,Scotland,1,Centre,4.5,3.0,B,South Africa,False,19,3567,-25.7,1.0,15.03,14.1,2.92,7.94
156422,Josh Nasser,Australia,2,Hooker,4.0,3.8,P,France,True,13,945,-4.9,1.0,22.2,52.4,16.03,7.26
202570,Tom Staniforth,France,1,Lock,3.5,4.9,B,Australia,False,1,2015,4.9,1.0,14.19,22.3,4.37,11.88
196853,Thomas Clarkson,Ireland,1,Prop,3.5,0.3,P,Japan,False,15,0,19.8,0.998,12.35,53.5,9.12,4.13
229690,Jan-Hendrik Wessels,South Africa,2,Prop,3.5,1.0,B,Scotland,True,11,1657,25.7,1.0,14.52,21.9,4.38,11.91
143492,Damian McKenzie,New Zealand,2,Fly Half,8.5,11.9,P,Italy,True,53,2888,33.5,0.962,29.58,77.7,30.69,14.37
129616,Fraser McReight,Australia,2,Loose Forward,7.0,19.8,P,France,True,40,3080,-4.9,1.0,19.86,75.9,20.79,9.42
134796,Joe Heyes,England,1,Prop,6.5,2.9,P,Fiji,False,23,3006,2.8,1.0,13.42,61.4,11.37,5.15
189982,Santiago Carreras,Argentina,2,Back Three,6.5,13.9,P,Wales,True,62,3844,20.2,1.0,19.34,69.9,18.66,8.45
110170,Kyle Steyn,Scotland,1,Back Three,6.5,12.3,P,South Africa,False,33,3388,-25.7,1.0,17.98,74.3,18.43,8.35
241794,Wallace Sititi,New Zealand,2,Loose Forward,6.5,4.8,P,Italy,True,20,1343,33.5,0.962,24.64,70.9,23.78,10.92
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,P,Japan,False,54,1820,19.8,0.998,20.11,56.9,15.78,7.15
143048,Allan Alaalatoa,Australia,2,Prop,5.5,4.9,P,France,True,52,1490,-4.9,1.0,16.15,53.8,11.99,5.43
226250,Isoa Nasilasila,Fiji,2,Lock,4.5,3.6,P,England,True,31,2534,-2.8,1.0,8.36,72.1,8.32,3.77
189326,Marcus Smith,England,1,Fly Half,4.5,2.2,P,Fiji,False,60,3883,2.8,1.0,22.38,76.0,23.21,10.63
178772,Gonzalo Garcia,Argentina,2,Scrum Half,4.0,1.8,P,Wales,True,18,1537,20.2,1.0,12.63,54.1,9.43,4.27
108021,Jefferson Poirot,France,1,Prop,4.0,2.7,B,Australia,False,1,2912,4.9,1.0,14.37,24.2,4.79,13.02
123723,Danilo Fischetti,Italy,1,Prop,5.5,15.7,P,New Zealand,False,59,2483,-33.5,0.962,17.68,56.1,13.69,6.21
136947,Brandon Paenga-Amosa,Australia,2,Hooker,4.0,0.3,B,France,True,25,1564,-4.9,1.0,18.19,20.2,5.07,13.78
239229,Hugo Auradou,France,1,Lock,4.0,4.0,B,Australia,False,13,3206,4.9,1.0,9.62,17.5,2.33,6.33
144545,Ben Carter,Wales,1,Lock,4.0,1.0,P,Argentina,False,20,2563,-20.2,1.0,17.32,64.3,15.36,6.96
166930,Peni Ravai Kovekalou,Fiji,2,Prop,3.5,0.5,B,England,True,23,0,-2.8,1.0,12.94,27.4,4.88,13.28
208272,Niccolo Cannone,Italy,1,Lock,6.5,7.7,P,New Zealand,False,59,2924,-33.5,0.962,14.91,72.0,14.82,6.71
200003,Pablo Matera,Argentina,2,Loose Forward,6.5,11.6,B,Wales,True,57,2413,20.2,1.0,16.49,21.9,4.98,13.53
214124,James Botham,Wales,1,Loose Forward,6.0,0.3,P,Argentina,False,22,1565,-20.2,1.0,21.51,73.4,21.67,9.86
215963,Guido Petti,Argentina,2,Lock,5.5,4.1,P,Wales,True,46,0,20.2,1.0,9.69,69.1,9.24,4.19
110319,Nicky Smith,Wales,1,Prop,4.5,0.5,B,Argentina,False,29,2646,-20.2,1.0,14.92,33.1,6.81,18.52
113765,Peceli Yato,Fiji,2,Loose Forward,4.0,0.4,P,England,True,6,2567,-2.8,1.0,17.15,64.2,15.18,6.88
109648,Seb Atkinson,England,1,Centre,4.0,1.1,P,Fiji,False,5,0,2.8,1.0,15.29,77.2,16.29,7.38
251438,Keijiro Tamefusa,Japan,2,Prop,3.0,0.1,B,Ireland,True,22,1373,-19.8,0.998,17.08,18.1,4.25,11.56
237271,Eddie James,Wales,1,Centre,5.0,0.7,P,Argentina,False,11,2180,-20.2,1.0,11.68,71.0,11.43,5.18
113737,Jack van Poortvliet,England,1,Scrum Half,4.0,0.9,P,Fiji,False,25,2565,2.8,1.0,14.93,54.7,11.26,5.1
172284,Muhamed Hasa,Italy,1,Prop,3.5,0.1,B,New Zealand,False,9,2055,-33.5,0.962,14.28,28.5,5.61,15.26
150038,Tyrel Lomax,New Zealand,2,Prop,5.0,1.5,P,Italy,True,48,1327,33.5,0.962,9.78,55.2,7.45,3.37
118619,Sam Costelow,Wales,1,Fly Half,4.0,0.1,P,Argentina,False,23,1852,-20.2,1.0,16.23,59.9,13.4,6.07
151974,Billy Proctor,New Zealand,2,Centre,6.0,0.4,P,Italy,True,12,2641,33.5,0.962,22.18,71.5,21.78,9.91
237233,Ross Vintcent,Italy,1,Loose Forward,4.5,6.2,P,New Zealand,False,20,1764,-33.5,0.962,23.69,70.4,22.8,10.42
245177,Tiennan Costley,Japan,2,Loose Forward,4.5,0.2,B,Ireland,True,12,2962,-19.8,0.998,20.85,15.3,4.41,11.99
182833,Taniela Tupou,Australia,2,Prop,4.0,1.4,B,France,True,53,1295,-4.9,1.0,11.42,27.5,4.33,11.77
168641,Dillon Lewis,Wales,1,Prop,3.5,2.2,P,Argentina,False,31,987,-20.2,1.0,15.69,52.8,11.42,5.18
164759,Ben Warren,Wales,1,Prop,3.0,0.2,B,Argentina,False,1,909,-20.2,1.0,14.68,34.0,6.88,18.72
237078,Canan Moodie,South Africa,2,Back Three,6.5,1.0,P,Scotland,True,24,3051,25.7,1.0,17.52,72.8,17.59,7.97
208971,Franco Molina,Argentina,2,Lock,5.0,0.8,B,Wales,True,21,1351,20.2,1.0,15.59,26.5,5.7,15.51
