id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
198661,Dylan Riley,Japan,2,Centre,5.0,1.3,P,Italy,True,24,0,-7.9,0.992,11.12,78.7,12.08,5.47
153646,George Furbank,England,1,Back Three,5.0,2.3,P,South Africa,False,8,0,-24.9,1.0,14.09,65.6,12.76,5.78
237271,Eddie James,Wales,1,Centre,5.0,0.7,P,Fiji,False,9,0,-8.9,0.989,15.27,68.9,14.52,6.58
208971,Franco Molina,Argentina,2,Lock,5.0,0.8,B,Scotland,True,19,0,9.7,1.0,8.02,26.7,2.95,8.02
174318,Monty Ioane,Italy,1,Back Three,5.0,7.8,P,Japan,False,26,0,7.9,0.992,16.69,76.6,17.64,7.99
193134,Nick Timoney,Ireland,1,Loose Forward,5.0,4.9,B,Australia,False,8,0,8.6,1.0,24.75,28.7,9.62,26.6
130282,Tommaso Allan,Italy,1,Fly Half,5.0,0.4,B,Japan,False,16,0,7.9,0.992,22.62,16.0,4.98,13.53
137626,Fin Smith,England,1,Fly Half,5.0,4.5,P,South Africa,False,17,0,-24.9,1.0,11.38,77.2,12.12,5.49
173801,Alex Coles,England,1,Lock,5.0,4.2,P,South Africa,False,16,0,-24.9,1.0,22.13,72.4,21.98,10.01
103821,Eroni Mawi,Fiji,2,Prop,5.0,3.3,P,Wales,True,20,0,8.9,0.989,6.29,57.4,4.98,2.26
104346,Tevita Ikanivere,Fiji,2,Hooker,5.0,3.7,P,Wales,True,22,0,8.9,0.989,12.36,65.3,11.13,5.05
152990,Temo Mayanavanua,Fiji,2,Lock,5.0,2.4,P,Wales,True,22,0,8.9,0.989,8.9,71.6,8.8,3.99
246864,Isaiah Armstrong-Ravula,Fiji,2,Fly Half,5.0,0.5,P,Wales,True,17,0,8.9,0.989,13.98,73.8,14.23,6.45
240624,Selestino Ravutaumada,Fiji,2,Centre,5.0,5.9,P,Wales,True,7,0,8.9,0.989,13.81,75.4,14.36,6.51
124812,Filimoni Botitu,Fiji,2,Centre,5.0,0.2,B,Wales,True,8,0,8.9,0.989,19.99,17.1,4.71,12.8
165591,Mateo Carreras,Argentina,2,Back Three,5.0,5.9,P,Scotland,True,17,0,9.7,1.0,22.41,76.9,23.5,10.78
175150,Robert Baloucoune,Ireland,1,Back Three,5.0,7.9,P,Australia,False,4,0,8.6,1.0,24.96,76.2,25.72,11.88
113444,Tadhg Furlong,Ireland,1,Prop,5.0,11.0,P,Australia,False,16,0,8.6,1.0,16.16,57.0,12.71,5.76
241698,Sam Prendergast,Ireland,1,Fly Half,5.0,3.9,P,Australia,False,15,0,8.6,1.0,16.45,71.0,16.11,7.3
