split,fold,tournament,calendar_year,hemisphere,target,weight_v4,baseline_score,candidate_score,delta
development,rugby_championship_2023,rugby_championship,2023,south,minutes,0.5,0.9300754317820914,0.9300754317820914,0.0
development,rugby_championship_2023,rugby_championship,2023,south,tries,0.1,0.9419390130418147,0.9277648100152794,-0.01417420302653527
development,rugby_championship_2023,rugby_championship,2023,south,try_assists,0.2,0.9265560856240149,0.9130149049686573,-0.013541180655357588
development,rugby_championship_2023,rugby_championship,2023,south,conversion_goals,0.2,0.7580008140345273,0.7270306092362736,-0.030970204798253742
development,rugby_championship_2023,rugby_championship,2023,south,missed_conversion_goals,0.25,0.7531562425613104,0.7238764336855275,-0.029279808875782964
development,rugby_championship_2023,rugby_championship,2023,south,penalty_goals,0.5,0.8065542890039581,0.8065542890039581,0.0
development,rugby_championship_2023,rugby_championship,2023,south,missed_penalty_goals,0.5,0.9015765270703523,0.9015765270703523,0.0
development,rugby_championship_2023,rugby_championship,2023,south,drop_goals_converted,0.75,0.8396066453764915,0.5463462498074247,-0.2932603955690668
development,rugby_championship_2023,rugby_championship,2023,south,drop_goal_missed,0.65,0.6757380466911175,0.5871360411176086,-0.08860200557350884
development,rugby_championship_2023,rugby_championship,2023,south,defenders_beaten,0.25,0.8218431241131753,0.8104067417390868,-0.011436382374088505
development,rugby_championship_2023,rugby_championship,2023,south,clean_breaks,0.2,1.03428785112856,1.02113730817486,-0.013150542953699995
development,rugby_championship_2023,rugby_championship,2023,south,offload,0.25,0.9327654091336505,0.9348888495091209,0.002123440375470409
development,rugby_championship_2023,rugby_championship,2023,south,runs,0.6,0.8447426221598542,0.8345162892235498,-0.010226332936304372
development,rugby_championship_2023,rugby_championship,2023,south,tackles,0.65,0.9599705229991803,0.9570468650748676,-0.002923657924312706
development,rugby_championship_2023,rugby_championship,2023,south,missed_tackles,0.4,0.8996088598448411,0.8958792863572329,-0.003729573487608162
development,rugby_championship_2023,rugby_championship,2023,south,rucks_won,0.6,0.6256514661366354,0.6217870626286413,-0.0038644035079941075
development,rugby_championship_2023,rugby_championship,2023,south,rucks_lost,0.65,0.9177865112529381,0.9299901144238997,0.012203603170961586
development,rugby_championship_2023,rugby_championship,2023,south,passes,0.65,0.7343555926030526,0.7157977658782365,-0.018557826724816096
development,rugby_championship_2023,rugby_championship,2023,south,bad_passes,0.55,0.9024790832128493,0.9028404204362536,0.00036133722340425667
development,rugby_championship_2023,rugby_championship,2023,south,turnovers_conceded,0.3,1.0087213604361005,1.001251344470452,-0.007470015965648447
development,rugby_championship_2023,rugby_championship,2023,south,penalties_conceded,0.35,0.9944772344576112,0.9866574674334629,-0.007819767024148216
development,rugby_championship_2023,rugby_championship,2023,south,yellow_cards,0.5,1.001071700690258,1.001071700690258,0.0
development,rugby_championship_2023,rugby_championship,2023,south,red_cards,0.9,0.8366339861161302,0.6089363348476325,-0.22769765126849761
development,rugby_championship_2023,rugby_championship,2023,south,metres,0.1,0.9069286296171931,0.8754882846414731,-0.031440344975720014
development,summer_internationals_2023,summer_internationals,2023,mixed,minutes,0.5,0.9740733720930213,0.9740733720930213,0.0
development,summer_internationals_2023,summer_internationals,2023,mixed,tries,0.1,0.9809258381788414,0.9831492229175633,0.0022233847387219674
development,summer_internationals_2023,summer_internationals,2023,mixed,try_assists,0.2,0.99993199704506,1.0077494789043786,0.007817481859318631
development,summer_internationals_2023,summer_internationals,2023,mixed,conversion_goals,0.2,0.7276903230536187,0.7009218988553457,-0.026768424198272966
development,summer_internationals_2023,summer_internationals,2023,mixed,missed_conversion_goals,0.25,0.9157882291333259,0.8996750283804114,-0.016113200752914558
development,summer_internationals_2023,summer_internationals,2023,mixed,penalty_goals,0.5,0.5310453030619684,0.5310453030619684,0.0
development,summer_internationals_2023,summer_internationals,2023,mixed,missed_penalty_goals,0.5,1.0589089182663536,1.0589089182663536,0.0
development,summer_internationals_2023,summer_internationals,2023,mixed,drop_goals_converted,0.75,0.6666988874364695,0.4783529257921451,-0.18834596164432443
development,summer_internationals_2023,summer_internationals,2023,mixed,drop_goal_missed,0.65,0.7839707341920904,0.7929406537426306,0.008969919550540162
development,summer_internationals_2023,summer_internationals,2023,mixed,defenders_beaten,0.25,0.9244004011675152,0.9159889287345473,-0.008411472432967915
development,summer_internationals_2023,summer_internationals,2023,mixed,clean_breaks,0.2,0.9719722999020546,0.9708283082998738,-0.001143991602180816
