target,weight_v4,development_score,selection_score
passes,0.9,0.803375048360996,0.7905769581928904
passes,0.95,0.8098970562338231,0.7941692733367046
passes,1.0,0.817622631230877,0.7986787707591133
bad_passes,0.0,0.9896954449751525,0.9849957838915269
bad_passes,0.05,0.9664873261657867,0.9702018255285206
bad_passes,0.1,0.9578484436356651,0.9654418700967383
bad_passes,0.15,0.9508606910346491,0.9614635457057789
bad_passes,0.2,0.9451241506048427,0.9580818174487868
bad_passes,0.25,0.9404277070558262,0.9552130876969774
bad_passes,0.3,0.9366325406249586,0.9528055769736085
bad_passes,0.35,0.9336386786050459,0.9508226956988088
bad_passes,0.4,0.931370550020753,0.9492368461569624
bad_passes,0.45,0.9297693904950235,0.9480264958798333
bad_passes,0.5,0.9287887723887179,0.9471745816940143
bad_passes,0.55,0.9283917862878687,0.9466675581001814
bad_passes,0.6,0.928549191030811,0.9464948015024265
bad_passes,0.65,0.9292381823388288,0.9466482342546155
bad_passes,0.7,0.9304415903269145,0.9471221001973792
bad_passes,0.75,0.9321474032666944,0.947912857925417
bad_passes,0.8,0.9343485698128009,0.9490191789730898
bad_passes,0.85,0.9370430748423433,0.9504420543471973
bad_passes,0.9,0.9402343293967784,0.9521850299883595
bad_passes,0.95,0.9439319800519298,0.9542546157101247
bad_passes,1.0,0.9481533598052133,0.9566609527615131
turnovers_conceded,0.0,1.0105799578859676,1.010655783251247
turnovers_conceded,0.05,0.9997301676560439,0.9993549803772281
turnovers_conceded,0.1,0.9983015914860046,0.9981014247969416
turnovers_conceded,0.15,0.9973462652616837,0.9971599175928273
turnovers_conceded,0.2,0.9967070017813409,0.9964020049398284
turnovers_conceded,0.25,0.9963208931075489,0.9957848680803408
turnovers_conceded,0.3,0.9961530515970812,0.9952877749106778
turnovers_conceded,0.35,0.9961809642660727,0.9948985403480989
turnovers_conceded,0.4,0.9963888264770495,0.9946091072125139
turnovers_conceded,0.45,0.9967649667362068,0.994413726752912
turnovers_conceded,0.5,0.9973004967996391,0.9943080864054835
turnovers_conceded,0.55,0.9979885321942852,0.9942888435041178
turnovers_conceded,0.6,0.9988237106881469,0.9943533547346727
turnovers_conceded,0.65,0.9998018808119883,0.9944995089766557
turnovers_conceded,0.7,1.000919894829286,0.9947256189391712
turnovers_conceded,0.75,1.0021754702736099,0.9950303483923068
turnovers_conceded,0.8,1.0035670996228219,0.9954126621807565
turnovers_conceded,0.85,1.0050939963939205,0.9958717915979675
turnovers_conceded,0.9,1.0067560713415382,0.9964072106663435
turnovers_conceded,0.95,1.008553936248415,0.9970186205927128
turnovers_conceded,1.0,1.0104889360153653,0.9977059407258356
penalties_conceded,0.0,1.0300591354510162,1.005151303336831
penalties_conceded,0.05,1.0090388651049946,0.9968780358330345
penalties_conceded,0.1,1.007257134450776,0.9959179628148456
penalties_conceded,0.15,1.0061113082429716,0.9952111462837373
penalties_conceded,0.2,1.0053371616038096,0.9946587606562133
penalties_conceded,0.25,1.0048402976550705,0.9942270208767655
penalties_conceded,0.3,1.0045726619957678,0.9938991247863734
penalties_conceded,0.35,1.0045052269661472,0.9936649523992004
penalties_conceded,0.4,1.0046186603602651,0.9935176715438252
penalties_conceded,0.45,1.0048992939994834,0.9934523223785957
penalties_conceded,0.5,1.0053370995894977,0.9934651284692438
penalties_conceded,0.55,1.00592456113608,0.993553122302293
penalties_conceded,0.6,1.006655998137016,0.9937139241454327
penalties_conceded,0.65,1.0075271368251912,0.9939456028930137
penalties_conceded,0.7,1.0085348281965072,0.9942465840961484
penalties_conceded,0.75,1.0096768584822124,0.9946155868624755
penalties_conceded,0.8,1.0109518213167716,0.9950515793743969
penalties_conceded,0.85,1.0123590336073534,0.9955537469946556
penalties_conceded,0.9,1.0138984845183243,0.9961214692685818
penalties_conceded,0.95,1.0155708116645423,0.9967543034998215
penalties_conceded,1.0,1.0173773019354941,0.9974519734165753
yellow_cards,0.0,1.0187308772108707,1.0272368623668007
yellow_cards,0.05,1.0070055679196748,0.9982743098202614
yellow_cards,0.1,0.9987204346216806,0.9906132317033585
yellow_cards,0.15,0.9921630517379404,0.9855466692799958
yellow_cards,0.2,0.9867823467884513,0.9819898273836611
yellow_cards,0.25,0.9822984835409905,0.9794764886653103
yellow_cards,0.3,0.9785465366911564,0.977755341093982
yellow_cards,0.35,0.975422137062671,0.9766746085853253
