target,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
runs,p3_robust_native,empirical_event,relative_loss,22,-0.21165763938629628,-0.2706244160621429,-0.16098172828551574,22,0,-0.21836111701891955,-0.1956109550247412
runs,p3_robust_native,p3_rolling_native,relative_loss,22,-0.010920311515197916,-0.017133446508506813,-0.005374928202424391,18,4,-0.011948319976859998,-0.009407770976750465
runs,p3_robust_native,p3_weighted_native,relative_loss,22,-0.002907747629922292,-0.006827886450518429,0.0008112878722560738,13,9,-0.0037064676034594007,-0.0018210171702772884
scrums_won,p3_robust_native,empirical_event,relative_loss,1,0.1308247772489397,0.1308247772489397,0.1308247772489397,0,1,0.1308247772489397,0.1308247772489397
scrums_won,p3_robust_native,p3_rolling_native,relative_loss,1,0.07496980133716735,0.07496980133716735,0.07496980133716735,0,1,0.07496980133716735,0.07496980133716735
scrums_won,p3_robust_native,p3_weighted_native,relative_loss,1,0.07496980133716735,0.07496980133716735,0.07496980133716735,0,1,0.07496980133716735,0.07496980133716735
tackle_try_saver,p3_robust_native,empirical_event,relative_loss,22,-0.14885446205234584,-0.24601268956851455,-0.06610696847051893,19,3,-0.1576564239720589,-0.12233251475653473
tackle_try_saver,p3_robust_native,p3_rolling_native,relative_loss,22,-0.01425908696048862,-0.03532635914887702,0.002119139605453241,11,11,-0.01641790137004989,-0.0068478755399193295
tackle_try_saver,p3_robust_native,p3_weighted_native,relative_loss,22,-0.01425908696048862,-0.03532635914887702,0.002119139605453241,11,11,-0.01641790137004989,-0.0068478755399193295
tackle_turnover,p3_robust_native,empirical_event,relative_loss,22,-0.05228949443092585,-0.10608874466303643,-0.021551457720680563,22,0,-0.05461638375023833,-0.02723767999741845
tackle_turnover,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0007079384632720357,-0.004312152045760377,0.0023711688013605533,14,8,-0.0016357214479974487,0.0006810230741550685
