fold,engine,relative_loss,family,population
six_nations_2026,p3_rolling_native,0.8774141225234283,six_nations,stable_events
six_nations_2026,p3_weighted_native,0.8782098460027647,six_nations,stable_events
summer_internationals_2022,empirical_event,0.9640963282151509,summer_internationals,stable_events
summer_internationals_2022,p3_robust_native,0.8664060957649463,summer_internationals,stable_events
summer_internationals_2022,p3_rolling_native,0.8658183831769293,summer_internationals,stable_events
summer_internationals_2022,p3_weighted_native,0.8780225473485573,summer_internationals,stable_events
summer_internationals_2023,empirical_event,0.978682477064698,summer_internationals,stable_events
summer_internationals_2023,p3_robust_native,0.8913841990038948,summer_internationals,stable_events
summer_internationals_2023,p3_rolling_native,0.8999678524762359,summer_internationals,stable_events
summer_internationals_2023,p3_weighted_native,0.8923263895851897,summer_internationals,stable_events
summer_internationals_2024,empirical_event,0.9905929123253275,summer_internationals,stable_events
summer_internationals_2024,p3_robust_native,0.9060952153039551,summer_internationals,stable_events
summer_internationals_2024,p3_rolling_native,0.9090034603244534,summer_internationals,stable_events
summer_internationals_2024,p3_weighted_native,0.911472837249863,summer_internationals,stable_events
summer_internationals_2025,empirical_event,0.9474350410126967,summer_internationals,stable_events
summer_internationals_2025,p3_robust_native,0.8996933095998467,summer_internationals,stable_events
summer_internationals_2025,p3_rolling_native,0.8970854269989502,summer_internationals,stable_events
summer_internationals_2025,p3_weighted_native,0.9019110221869644,summer_internationals,stable_events
