fixture_id,player_id,team,id,name,position,status,actual,predicted,is_sub,is_capt,slate,engine,multiplier,contribution,in_both_squads
291594,263268,Scotland,240478,Gregor Hiddleston,Hooker,P,25.0,24.15,False,False,ncr_2026_r3,empirical_baseline,1,25.0,True
291592,fantasy_241018,Ireland,241018,Sean Jansen,Back-row,B,12.0,12.09,True,False,ncr_2026_r3,empirical_baseline,3,36.0,False
291593,339450,France,244532,Theo Attissogbe,Back-three,P,44.0,25.7,False,False,ncr_2026_r3,empirical_baseline,1,44.0,True
291593,354888,France,250067,Fabien Brau-Boirie,Centre,P,18.0,25.58,False,False,ncr_2026_r3,empirical_baseline,1,18.0,True
291590,124026,South Africa,110910,Jesse Kriel,Centre,P,26.0,20.00261109861383,False,False,ncr_2026_r3,p3_robust_native,1,26.0,False
291592,168972,New Zealand,146220,Will Jordan,Back-three,P,50.0,27.38159993359881,False,False,ncr_2026_r3,p3_robust_native,1,50.0,True
291591,192666,Australia,146815,Angus Bell,Prop,P,28.0,16.87227783993122,False,False,ncr_2026_r3,p3_robust_native,1,28.0,True
291594,131400,Scotland,172455,Duhan van der Merwe,Back-three,P,56.0,25.836324541978595,False,False,ncr_2026_r3,p3_robust_native,1,56.0,True
291589,198696,England,173801,Alex Coles,Second-row,P,16.0,23.6831578284113,False,False,ncr_2026_r3,p3_robust_native,1,16.0,False
291592,120396,New Zealand,179379,Ardie Savea,Back-row,P,49.0,32.90735699723884,False,False,ncr_2026_r3,p3_robust_native,1,49.0,True
291593,169662,France,190344,Matthieu Jalibert,Fly-half,P,45.0,34.40085950120153,False,True,ncr_2026_r3,p3_robust_native,2,90.0,True
291591,193992,Australia,208620,Carlo Tizzano,Back-row,P,28.0,28.636742632656286,False,False,ncr_2026_r3,p3_robust_native,1,28.0,True
291592,225594,New Zealand,229307,Cam Roigard,Scrum-half,P,20.0,27.17514124472559,False,False,ncr_2026_r3,p3_robust_native,1,20.0,True
291589,226080,Argentina,235266,Joaquin Oviedo,Back-row,P,31.0,28.802089955199957,False,False,ncr_2026_r3,p3_robust_native,1,31.0,False
291593,242406,Japan,238928,Warner Dearns,Second-row,P,29.0,24.169152071939266,False,False,ncr_2026_r3,p3_robust_native,1,29.0,True
291589,342324,England,239634,Henry Pollock,Back-row,B,13.0,11.4093194274603,True,False,ncr_2026_r3,p3_robust_native,3,39.0,False
291594,263268,Scotland,240478,Gregor Hiddleston,Hooker,P,25.0,23.666618585278243,False,False,ncr_2026_r3,p3_robust_native,1,25.0,True
