slate,engine,bin,min_prediction,max_prediction,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
six_nations_2025_r2,empirical_baseline,3,11.563905221935125,17.12460647868891,28,28,14.270867320598658,13.035714285714286,1.2351530348843727,5.720061818356673,6.76910054897592,-0.11913312612440126
six_nations_2025_r2,empirical_baseline,4,17.355092055429665,22.76351848192401,27,27,19.903517008081618,20.555555555555557,-0.6520385474739419,9.632586998429506,13.256374347123302,0.2161421051602502
six_nations_2025_r2,empirical_baseline,5,23.78959874004987,35.24162954686641,28,28,27.450042677079285,23.785714285714285,3.6643283913649993,10.163965711006034,13.450808420310047,0.12856377038408393
six_nations_2025_r2,p3_robust_native,1,3.6999688862660656,7.049099191555728,28,28,5.607159986589076,5.821428571428571,-0.21426858483949468,4.947255216820369,6.424294178743673,0.13148292917464388
six_nations_2025_r2,p3_robust_native,2,7.053219785499359,12.721139428699765,27,27,8.899051940435397,7.851851851851852,1.0472000885835457,4.671567757705635,6.526125833292794,0.4391654557689854
six_nations_2025_r2,p3_robust_native,3,13.048058868176437,17.931118350178757,28,28,15.185657493943308,12.607142857142858,2.57851463680045,5.43624559214158,6.581050968432362,0.36234038360416976
six_nations_2025_r2,p3_robust_native,4,18.092689877692223,22.8489419243332,27,27,20.04429851799933,19.0,1.0442985179993312,7.533124311645959,9.376697290404318,0.0663813085056665
six_nations_2025_r2,p3_robust_native,5,22.941787435998005,33.48503563771882,28,28,26.963885520255257,25.464285714285715,1.4995998059695448,11.562273370592964,15.577482317311706,0.23766479514499095
six_nations_2025_r3,empirical_baseline,1,2.056269405283663,5.913095938274625,28,28,4.250964811302666,4.678571428571429,-0.42760661726876276,3.0102372770245216,3.6486281302342474,0.16315316640789418
six_nations_2025_r3,empirical_baseline,2,5.990739167808879,11.63441529419721,27,27,8.194586312425452,9.555555555555555,-1.3609692431301037,4.5858348681534125,5.313780212334615,0.1504762172264583
six_nations_2025_r3,empirical_baseline,3,11.661782487485498,17.301885911874454,28,28,14.890667879961228,15.678571428571429,-0.7879035486102023,5.86989341217014,7.238254438011921,0.2303057438211352
six_nations_2025_r3,empirical_baseline,4,17.831145543858753,22.25730546370689,27,27,19.584911160554388,22.444444444444443,-2.859533283890058,8.282276062564605,12.046011396211984,0.2253826423973831
six_nations_2025_r3,empirical_baseline,5,23.320438577803824,37.0572676191881,28,28,27.439394928476055,27.321428571428573,0.11796635704748125,13.208244325727014,17.384987780391217,0.17501076238309105
six_nations_2025_r3,p3_robust_native,1,2.951251213184193,6.767967989361632,28,28,5.33618463033176,5.214285714285714,0.12189891604604768,3.8638354802583383,4.68433564918329,-0.13133280918792933
six_nations_2025_r3,p3_robust_native,2,6.916847233710943,11.668032530692065,27,27,8.411571135997562,9.592592592592593,-1.1810214565950305,4.5957599618263165,5.370076864950771,0.25555572783109004
six_nations_2025_r3,p3_robust_native,3,12.017839961252148,17.78277329398727,28,28,15.293467537290951,16.928571428571427,-1.6351038912804772,7.4115801750816095,9.555820798772759,0.3990684318499003
six_nations_2025_r3,p3_robust_native,4,17.934539184303038,21.576182884112875,27,27,19.785976269476652,21.40740740740741,-1.6214311379307529,7.879772333981309,11.395522794721453,0.14982439776476242
six_nations_2025_r3,p3_robust_native,5,21.659450386557936,36.41492959618017,28,28,27.542617228124662,26.5,1.0426172281246562,12.566629112986993,17.243090414181754,0.36328837923578944
six_nations_2025_r4,empirical_baseline,1,1.876914943539114,6.589761365152127,28,28,4.353445333078682,9.321428571428571,-4.9679832383498885,5.9444245752254306,9.73494868515707,0.3993440111017828
six_nations_2025_r4,empirical_baseline,2,6.627446179842593,10.78378847443069,27,27,8.668923085001504,13.148148148148149,-4.479225063146645,7.880899898829357,10.094959716453083,0.36033034260501584
six_nations_2025_r4,empirical_baseline,3,11.095567288048892,17.158319301149255,28,28,14.420547892019668,15.178571428571429,-0.7580235365517624,6.523214878222689,9.379538155822939,0.37311499196939685
six_nations_2025_r4,empirical_baseline,4,17.1638141619846,22.890190133120687,27,27,19.490139726964518,19.037037037037038,0.4531026899274814,6.959481710769064,8.727478376095274,0.15978022061533348
six_nations_2025_r4,empirical_baseline,5,23.419666440349616,34.930507896972614,28,28,27.55503242173008,32.0,-4.444967578269924,11.541509221580295,14.411268894969924,0.13349798758432593
six_nations_2025_r4,p3_robust_native,1,3.795421618537249,6.798537024698869,28,28,5.249187220028191,6.642857142857143,-1.3936699228289506,4.492608659153519,6.735297693469027,-0.06655747124589002
six_nations_2025_r4,p3_robust_native,2,6.863820624002576,11.724149533107528,27,27,8.574630157214314,14.925925925925926,-6.351295768711612,9.712433983805079,12.24999410963624,-0.270352912200575
six_nations_2025_r4,p3_robust_native,3,12.232654076917546,16.85884778571642,28,28,14.783706017462984,16.071428571428573,-1.2877225539655852,4.975242694199588,7.931505213624651,0.4398959679990739
six_nations_2025_r4,p3_robust_native,4,17.077201959957566,21.27906750506441,27,27,18.889142678855233,20.0,-1.1108573211447659,7.992442287470544,10.083056974901812,0.1811509761703666
six_nations_2025_r4,p3_robust_native,5,21.499658249582573,33.803095867856975,28,28,27.10475473463858,31.142857142857142,-4.038102408218569,11.808355303056507,15.057485639441676,-0.03562623240371017
