fixture_id,date,team,opponent,match_at,lock_at,timestamp_precision,ncr_gameday,ncr_fantasy_match_id
8290807,2021-10-23,Japan,Australia,2021-10-23 00:00:00+00:00,2021-10-23 00:00:00+00:00,date,,
8289754,2021-10-30,New Zealand,Wales,2021-10-30 00:00:00+00:00,2021-10-30 00:00:00+00:00,date,,
8289754,2021-10-30,Wales,New Zealand,2021-10-30 00:00:00+00:00,2021-10-30 00:00:00+00:00,date,,
8290384,2021-10-30,Scotland,Tonga,2021-10-30 00:00:00+00:00,2021-10-30 00:00:00+00:00,date,,
8289763,2021-11-06,South Africa,Wales,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8289763,2021-11-06,Wales,South Africa,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290141,2021-11-06,Argentina,France,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290141,2021-11-06,France,Argentina,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290231,2021-11-06,England,Tonga,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290240,2021-11-06,Ireland,Japan,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290240,2021-11-06,Japan,Ireland,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290249,2021-11-06,Italy,New Zealand,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290249,2021-11-06,New Zealand,Italy,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290897,2021-11-06,Fiji,Spain,2021-11-06 00:00:00+00:00,2021-11-06 00:00:00+00:00,date,,
8290258,2021-11-07,Australia,Scotland,2021-11-07 00:00:00+00:00,2021-11-07 00:00:00+00:00,date,,
8290258,2021-11-07,Scotland,Australia,2021-11-07 00:00:00+00:00,2021-11-07 00:00:00+00:00,date,,
8290267,2021-11-13,Australia,England,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290267,2021-11-13,England,Australia,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290276,2021-11-13,Ireland,New Zealand,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290276,2021-11-13,New Zealand,Ireland,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290285,2021-11-13,Scotland,South Africa,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290285,2021-11-13,South Africa,Scotland,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290294,2021-11-13,Argentina,Italy,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290294,2021-11-13,Italy,Argentina,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8290816,2021-11-13,Japan,Portugal,2021-11-13 00:00:00+00:00,2021-11-13 00:00:00+00:00,date,,
8289772,2021-11-14,Fiji,Wales,2021-11-14 00:00:00+00:00,2021-11-14 00:00:00+00:00,date,,
8289772,2021-11-14,Wales,Fiji,2021-11-14 00:00:00+00:00,2021-11-14 00:00:00+00:00,date,,
8290150,2021-11-14,France,Georgia,2021-11-14 00:00:00+00:00,2021-11-14 00:00:00+00:00,date,,
8289745,2021-11-20,Australia,Wales,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8289745,2021-11-20,Wales,Australia,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290159,2021-11-20,France,New Zealand,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290159,2021-11-20,New Zealand,France,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290303,2021-11-20,England,South Africa,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290303,2021-11-20,South Africa,England,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290312,2021-11-20,Japan,Scotland,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290312,2021-11-20,Scotland,Japan,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290321,2021-11-20,Italy,Uruguay,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290888,2021-11-20,Fiji,Georgia,2021-11-20 00:00:00+00:00,2021-11-20 00:00:00+00:00,date,,
8290330,2021-11-21,Argentina,Ireland,2021-11-21 00:00:00+00:00,2021-11-21 00:00:00+00:00,date,,
8290330,2021-11-21,Ireland,Argentina,2021-11-21 00:00:00+00:00,2021-11-21 00:00:00+00:00,date,,
8289781,2022-02-05,Ireland,Wales,2022-02-05 00:00:00+00:00,2022-02-05 00:00:00+00:00,round_date,,
8289781,2022-02-05,Wales,Ireland,2022-02-05 00:00:00+00:00,2022-02-05 00:00:00+00:00,round_date,,
8289790,2022-02-05,England,Scotland,2022-02-05 00:00:00+00:00,2022-02-05 00:00:00+00:00,round_date,,
8289790,2022-02-05,Scotland,England,2022-02-05 00:00:00+00:00,2022-02-05 00:00:00+00:00,round_date,,
8289799,2022-02-06,France,Italy,2022-02-06 00:00:00+00:00,2022-02-05 00:00:00+00:00,round_date,,
8289799,2022-02-06,Italy,France,2022-02-06 00:00:00+00:00,2022-02-05 00:00:00+00:00,round_date,,
8289808,2022-02-12,Scotland,Wales,2022-02-12 00:00:00+00:00,2022-02-12 00:00:00+00:00,round_date,,
8289808,2022-02-12,Wales,Scotland,2022-02-12 00:00:00+00:00,2022-02-12 00:00:00+00:00,round_date,,
8289817,2022-02-12,France,Ireland,2022-02-12 00:00:00+00:00,2022-02-12 00:00:00+00:00,round_date,,
8289817,2022-02-12,Ireland,France,2022-02-12 00:00:00+00:00,2022-02-12 00:00:00+00:00,round_date,,
8289826,2022-02-13,England,Italy,2022-02-13 00:00:00+00:00,2022-02-12 00:00:00+00:00,round_date,,
8289826,2022-02-13,Italy,England,2022-02-13 00:00:00+00:00,2022-02-12 00:00:00+00:00,round_date,,
4707115,2022-02-18,Fijian Drua,NSW Waratahs,2022-02-18 00:00:00+00:00,2022-02-18 00:00:00+00:00,date,,
4707115,2022-02-18,NSW Waratahs,Fijian Drua,2022-02-18 00:00:00+00:00,2022-02-18 00:00:00+00:00,date,,
4707124,2022-02-19,Chiefs,Highlanders,2022-02-19 00:00:00+00:00,2022-02-19 00:00:00+00:00,date,,
4707124,2022-02-19,Highlanders,Chiefs,2022-02-19 00:00:00+00:00,2022-02-19 00:00:00+00:00,date,,
4707133,2022-02-19,Crusaders,Hurricanes,2022-02-19 00:00:00+00:00,2022-02-19 00:00:00+00:00,date,,
4707133,2022-02-19,Hurricanes,Crusaders,2022-02-19 00:00:00+00:00,2022-02-19 00:00:00+00:00,date,,
4707142,2022-02-19,Melbourne Rebels,Queensland Reds,2022-02-19 00:00:00+00:00,2022-02-19 00:00:00+00:00,date,,
4707142,2022-02-19,Queensland Reds,Melbourne Rebels,2022-02-19 00:00:00+00:00,2022-02-19 00:00:00+00:00,date,,
4707151,2022-02-20,ACT Brumbies,Western Force,2022-02-20 00:00:00+00:00,2022-02-20 00:00:00+00:00,date,,
4707151,2022-02-20,Western Force,ACT Brumbies,2022-02-20 00:00:00+00:00,2022-02-20 00:00:00+00:00,date,,
4707205,2022-02-25,NSW Waratahs,Queensland Reds,2022-02-25 00:00:00+00:00,2022-02-25 00:00:00+00:00,date,,
4707205,2022-02-25,Queensland Reds,NSW Waratahs,2022-02-25 00:00:00+00:00,2022-02-25 00:00:00+00:00,date,,
4707223,2022-02-25,Crusaders,Highlanders,2022-02-25 00:00:00+00:00,2022-02-25 00:00:00+00:00,date,,
4707223,2022-02-25,Highlanders,Crusaders,2022-02-25 00:00:00+00:00,2022-02-25 00:00:00+00:00,date,,
4707214,2022-02-26,ACT Brumbies,Fijian Drua,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,date,,
4707214,2022-02-26,Fijian Drua,ACT Brumbies,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,date,,
4707232,2022-02-26,Melbourne Rebels,Western Force,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,date,,
4707232,2022-02-26,Western Force,Melbourne Rebels,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,date,,
4707241,2022-02-26,Blues,Hurricanes,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,date,,
4707241,2022-02-26,Hurricanes,Blues,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,date,,
8289835,2022-02-26,France,Scotland,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,round_date,,
8289835,2022-02-26,Scotland,France,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,round_date,,
8289844,2022-02-26,England,Wales,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,round_date,,
8289844,2022-02-26,Wales,England,2022-02-26 00:00:00+00:00,2022-02-26 00:00:00+00:00,round_date,,
8289853,2022-02-27,Ireland,Italy,2022-02-27 00:00:00+00:00,2022-02-26 00:00:00+00:00,round_date,,
8289853,2022-02-27,Italy,Ireland,2022-02-27 00:00:00+00:00,2022-02-26 00:00:00+00:00,round_date,,
4707286,2022-03-04,Crusaders,Moana Pasifika,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,date,,
4707286,2022-03-04,Moana Pasifika,Crusaders,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,date,,
4707295,2022-03-04,Fijian Drua,Melbourne Rebels,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,date,,
4707295,2022-03-04,Melbourne Rebels,Fijian Drua,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,date,,
4707304,2022-03-04,Queensland Reds,Western Force,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,date,,
4707304,2022-03-04,Western Force,Queensland Reds,2022-03-04 00:00:00+00:00,2022-03-04 00:00:00+00:00,date,,
4707313,2022-03-05,Blues,Chiefs,2022-03-05 00:00:00+00:00,2022-03-05 00:00:00+00:00,date,,
4707313,2022-03-05,Chiefs,Blues,2022-03-05 00:00:00+00:00,2022-03-05 00:00:00+00:00,date,,
4707322,2022-03-05,Highlanders,Hurricanes,2022-03-05 00:00:00+00:00,2022-03-05 00:00:00+00:00,date,,
4707322,2022-03-05,Hurricanes,Highlanders,2022-03-05 00:00:00+00:00,2022-03-05 00:00:00+00:00,date,,
4707331,2022-03-05,ACT Brumbies,NSW Waratahs,2022-03-05 00:00:00+00:00,2022-03-05 00:00:00+00:00,date,,
4707331,2022-03-05,NSW Waratahs,ACT Brumbies,2022-03-05 00:00:00+00:00,2022-03-05 00:00:00+00:00,date,,
4707376,2022-03-11,Blues,Highlanders,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,date,,
4707376,2022-03-11,Highlanders,Blues,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,date,,
4707385,2022-03-11,ACT Brumbies,Melbourne Rebels,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,date,,
4707385,2022-03-11,Melbourne Rebels,ACT Brumbies,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,date,,
8289862,2022-03-11,France,Wales,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,round_date,,
8289862,2022-03-11,Wales,France,2022-03-11 00:00:00+00:00,2022-03-11 00:00:00+00:00,round_date,,
4707412,2022-03-12,Chiefs,Crusaders,2022-03-12 00:00:00+00:00,2022-03-12 00:00:00+00:00,date,,
4707412,2022-03-12,Crusaders,Chiefs,2022-03-12 00:00:00+00:00,2022-03-12 00:00:00+00:00,date,,
4707421,2022-03-12,Fijian Drua,Queensland Reds,2022-03-12 00:00:00+00:00,2022-03-12 00:00:00+00:00,date,,
4707421,2022-03-12,Queensland Reds,Fijian Drua,2022-03-12 00:00:00+00:00,2022-03-12 00:00:00+00:00,date,,
8289871,2022-03-12,England,Ireland,2022-03-12 00:00:00+00:00,2022-03-11 00:00:00+00:00,round_date,,
8289871,2022-03-12,Ireland,England,2022-03-12 00:00:00+00:00,2022-03-11 00:00:00+00:00,round_date,,
8289880,2022-03-12,Italy,Scotland,2022-03-12 00:00:00+00:00,2022-03-11 00:00:00+00:00,round_date,,
8289880,2022-03-12,Scotland,Italy,2022-03-12 00:00:00+00:00,2022-03-11 00:00:00+00:00,round_date,,
4707394,2022-03-13,NSW Waratahs,Western Force,2022-03-13 00:00:00+00:00,2022-03-13 00:00:00+00:00,date,,
4707394,2022-03-13,Western Force,NSW Waratahs,2022-03-13 00:00:00+00:00,2022-03-13 00:00:00+00:00,date,,
