engine,fixture_id,target,n,mae
p3_balanced_native,8472337,minutes,46,12.642755345981188
p3_balanced_native,8472337,tries,46,0.2266264517560402
p3_balanced_native,8472337,try_assists,46,0.1608217466301325
p3_balanced_native,8472337,conversion_goals,46,0.0609764998140996
p3_balanced_native,8472337,missed_conversion_goals,46,0.0293145702864485
p3_balanced_native,8472337,penalty_goals,46,0.1392750082263237
p3_balanced_native,8472337,missed_penalty_goals,46,0.0112400424593258
p3_balanced_native,8472337,drop_goals_converted,46,0.000352238893857
p3_balanced_native,8472337,drop_goal_missed,46,0.0224171199001362
p3_balanced_native,8472337,defenders_beaten,46,0.9321212923640432
p3_balanced_native,8472337,clean_breaks,46,0.3349106103991992
p3_balanced_native,8472337,offload,46,0.4301058274793004
p3_balanced_native,8472337,runs,46,3.125252171089687
p3_balanced_native,8472337,tackles,46,3.0083996153715624
p3_balanced_native,8472337,missed_tackles,46,0.8486273037958658
p3_balanced_native,8472337,rucks_won,46,2.498556895447721
p3_balanced_native,8472337,rucks_lost,46,0.3382474720689202
p3_balanced_native,8472337,passes,46,3.2599464012996093
p3_balanced_native,8472337,bad_passes,46,0.4146322788643994
p3_balanced_native,8472337,turnovers_conceded,46,0.6504456956479886
p3_balanced_native,8472337,penalties_conceded,46,0.4944995085670275
p3_balanced_native,8472337,yellow_cards,46,0.0180052873417708
p3_balanced_native,8472337,red_cards,46,0.001164029454289
p3_balanced_native,8472337,metres,46,11.75455915465472
p3_balanced_recent_native,8472337,minutes,46,12.623316338975414
p3_balanced_recent_native,8472337,tries,46,0.225784111496409
p3_balanced_recent_native,8472337,try_assists,46,0.1620667852045945
p3_balanced_recent_native,8472337,conversion_goals,46,0.0615688463845208
p3_balanced_recent_native,8472337,missed_conversion_goals,46,0.0290729761502371
p3_balanced_recent_native,8472337,penalty_goals,46,0.1416995573708031
p3_balanced_recent_native,8472337,missed_penalty_goals,46,0.0103802253332461
p3_balanced_recent_native,8472337,drop_goals_converted,46,0.000328382280791
p3_balanced_recent_native,8472337,drop_goal_missed,46,0.0221789373759983
p3_balanced_recent_native,8472337,defenders_beaten,46,0.9329277518825988
