Player,Nation,MP,POTM,T,As,C,Pen,DG,Ta,MC,DB,OF,50-22,LS,BS,KR,SW,CPen,YC,RC ,AP
R. Neti,France,5,0,0,0,0,0,0,28,5,0,0,0,0,0,0,9,0,0,0,7.4
T. Clarkson,Ireland,3,0,0,0,0,0,0,16,5,1,0,0,0,0,0,7,3,0,0,7.3
N. McBeth,Scotland,3,0,0,0,0,0,0,18,2,0,0,0,0,0,0,6,2,0,0,7.3
A. Mitchell,England,3,0,0,0,0,0,0,6,57,3,0,0,0,0,3,0,1,0,0,7.0
B. Serin,France,4,0,0,2,0,0,0,3,68,5,0,0,0,0,0,0,0,0,0,6.8
E. Millar-Mills,Scotland,3,0,0,0,0,0,0,14,8,1,0,0,0,0,0,7,3,0,0,6.7
R. Favretto,Italy,5,0,0,0,0,0,0,15,10,2,1,0,0,0,0,12,0,0,0,6.6
M. Williamson,Scotland,4,0,0,0,0,0,0,17,13,0,0,0,0,0,0,9,0,0,0,6.5
L. Cowan-Dickie,England,5,0,0,1,0,0,0,19,32,0,0,0,0,1,0,5,2,0,0,6.4
B. Spencer,England,4,0,0,0,0,0,0,7,12,0,0,0,0,0,9,0,1,0,0,6.0
K. Gourgues,France,1,0,0,0,0,0,0,3,18,0,1,0,0,0,0,0,0,0,0,6.0
J. Brennan,France,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6.0
S. Varney,Italy,1,0,0,0,0,0,0,1,30,0,0,0,0,0,1,0,0,0,0,6.0
F. Douglas,Scotland,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6.0
M. Hasa,Italy,4,0,0,0,0,0,0,18,6,0,0,0,0,0,0,8,2,0,0,6.0
T. Jordan,Scotland,5,0,1,0,0,0,0,3,73,4,1,0,0,0,0,0,0,0,0,5.8
T. Curry,England,3,0,0,0,0,0,0,17,6,0,0,0,0,0,0,7,2,1,0,5.7
P. Odogwu,Italy,2,0,0,0,0,0,0,3,52,2,0,0,0,0,0,0,0,0,0,5.5
A. Garbisi,Italy,4,0,0,1,0,0,0,12,8,0,0,0,0,0,3,0,0,0,0,5.5
D. van der Merwe,Scotland,1,0,0,0,0,0,0,1,24,1,0,0,0,0,0,0,0,0,0,5.0
G. Colombe,France,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,1,0,0,5.0
A. Craig,Scotland,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,1,0,0,5.0
D. Odiase,Italy,3,0,0,0,0,0,0,5,28,0,1,0,0,0,0,5,0,0,0,4.7
C. Frawley,Ireland,3,0,0,1,0,0,0,1,40,0,2,0,0,0,0,0,0,0,0,4.3
N. Nene,France,1,0,0,0,0,0,0,1,21,0,1,0,0,0,0,0,1,0,0,4.0
G. Hamer-Webb,Wales,1,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,4.0
L. Belcher,Wales,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4.0
T. Plumtree,Wales,3,0,0,0,0,0,0,9,40,1,1,0,0,0,0,2,1,1,0,3.7
D. Bamba,France,2,0,0,0,0,0,0,8,10,2,0,0,0,0,0,1,1,1,0,3.5
J. Evans,Wales,3,0,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,0,0,3.3
B. Aki,Ireland,1,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3.0
C. Cunningham-South,England,2,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,3.0
T. Stewart,Ireland,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3.0
N. Doak,Ireland,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
T. Davison,England,5,0,0,0,0,0,0,10,8,0,0,0,0,0,0,3,0,0,0,2.6
R. Sutherland,Scotland,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2.5
D. Rae,Scotland,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,2.5
F. Bealham,Ireland,3,0,0,0,0,0,0,8,13,0,0,0,0,0,0,2,4,0,0,2.0
T. Farrell,Ireland,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2.0
C. Casey,Ireland,4,0,0,0,0,0,0,3,6,3,0,0,0,0,2,0,1,1,0,1.8
B. Murray,Wales,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1.5
K. Rowe,Scotland,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
K. Hardy,Wales,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0.3
B. Thomas,Wales,1,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,2,1,0,0.0
A. Hastings,Scotland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
L. Hennessey,Wales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F. Thomas,Wales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Lucu,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
H. Keenan,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Lucchesi,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
P. Boudehent,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
L. Barre,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. O'Brien,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Villiere,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
H. Slade,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Furbank,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C. Woki,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Arfeuil,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
U. Seunes,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Gesi,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M. Page-Relo,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R. Hutchinson,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
O. Smith,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Reed,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Hiddleston,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Thomas,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Rogers,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Bertaccini,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
H. Byrne,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. da Re,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Gray,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. McDowall,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
O. Smith,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Reed,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Hiddleston,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Thomas,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Rogers,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Bertaccini,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
H. Byrne,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. da Re,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Gray,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. McDowall,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
O. Smith,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Reed,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Hiddleston,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Thomas,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Rogers,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Bertaccini,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
H. Byrne,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. da Re,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Gray,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. McDowall,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F. Burke,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R. Quirke,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Laclayat,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R. Woodman,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Zegueur,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Desperes,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
T. Dan,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Fisilau,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Kenningham,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D. Priso,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
S. Wainwright,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
