fantasy_id,player_id,player_name,team,opponent,position,started,engine,expected_points,p10,median,p90,p_play,expected_minutes
229857,192618,Jeremy Williams,Australia,Italy,Second-row,True,baseline,12.61975,5.0,12.0,21.0,,64.88028879491259
152990,169128,Temo Mayanavanua,Fiji,Scotland,Second-row,True,baseline,12.56325,5.0,12.0,21.0,,64.24967230283374
224426,fantasy_224426,Tom OToole,Ireland,New Zealand,Prop,True,baseline,12.51625,4.0,11.0,23.0,,55.78065735927608
208272,167196,Niccolo Cannone,Italy,Australia,Second-row,True,baseline,12.329,5.0,11.0,21.0,,64.38594758732283
246864,215232,Isaiah Armstrong-Ravula,Fiji,Scotland,Fly-half,True,baseline,12.292,3.0,11.0,22.0,,68.31582192430008
210801,136596,Scott Cummings,Scotland,Fiji,Second-row,True,baseline,12.16225,5.0,11.0,20.0,,64.99435067252706
185466,140238,Ox Nche,South Africa,Wales,Prop,True,baseline,12.08425,4.0,11.0,22.0,,55.286788680591535
171323,117852,Jonny Gray,Scotland,Fiji,Second-row,True,baseline,12.0475,5.0,11.0,20.0,,65.30038930131929
178772,169464,Gonzalo Garcia,Argentina,England,Scrum-half,True,baseline,11.9865,2.0,10.0,23.09999999999991,,64.00821372266246
100043,186162,Maxime Lucu,France,Japan,Scrum-half,True,baseline,11.94975,3.0,10.0,23.0,,64.00821372266246
216173,120504,Jamison Gibson-Park,Ireland,New Zealand,Scrum-half,True,baseline,11.8655,3.0,10.0,23.0,,64.40828915042441
104572,130242,Thomas du Toit,South Africa,Wales,Prop,True,baseline,11.857,4.0,11.0,22.0,,55.286788680591535
146480,139998,Sione Tuipulotu,Scotland,Fiji,Centre,True,baseline,11.73675,4.0,11.0,21.0,,71.97624892679583
243508,242766,Tom Jordan,Scotland,Fiji,Centre,True,baseline,11.651,4.0,11.0,21.0,,71.87715401187955
109816,130554,Rory Hutchinson,Scotland,Fiji,Centre,True,baseline,11.637,4.0,11.0,21.0,,71.97624892679583
110170,171582,Kyle Steyn,Scotland,Fiji,Back-three,True,baseline,11.605,3.0,10.0,22.0,,71.14731022145786
233260,227256,Shuhei Takeuchi,Japan,France,Prop,True,baseline,11.51075,4.0,10.0,20.0,,55.359861087943855
237271,232158,Eddie James,Wales,South Africa,Centre,True,baseline,11.48425,3.0,10.0,21.0,,71.71713169283008
131550,193938,Takato Okabe,Japan,France,Prop,True,baseline,11.478,4.0,10.0,20.0,,55.31450116545258
197546,220962,Joe Hawkins,Wales,South Africa,Centre,True,baseline,11.4145,4.0,10.0,20.0,,71.71713169283008
207343,178674,Grant Williams,South Africa,Wales,Scrum-half,True,baseline,11.231,2.0,10.0,23.0,,63.429004424664996
198661,165924,Dylan Riley,Japan,France,Centre,True,baseline,11.18625,3.0,10.0,20.0,,71.84993416233883
229557,226818,Tommaso Menoncello,Italy,Australia,Centre,True,baseline,11.1755,3.0,10.0,20.0,,71.2811064245178
180778,179370,Kyle Rowe,Scotland,Fiji,Back-three,True,baseline,11.175,2.0,10.0,21.0,,71.14731022145786
168641,135306,Dillon Lewis,Wales,South Africa,Prop,True,baseline,11.12625,4.0,10.0,20.0,,55.076473830583396
251359,371544,Yuya Hirose,Japan,France,Centre,True,baseline,11.12,3.0,10.0,20.0,,71.96695670904698
128591,238038,Tim Hoyt,Fiji,Scotland,Prop,True,baseline,11.038,3.0,10.0,19.0,,54.82178023088101
146815,192666,Angus Bell,Australia,Italy,Prop,True,baseline,11.02825,3.0,10.0,19.0,,55.31450116545258
119955,162870,Rhys Carre,Wales,South Africa,Prop,True,baseline,11.006,4.0,10.0,19.0,,55.017145100911236
245050,346554,Max Jorgensen,Australia,Italy,Back-three,True,baseline,10.963,2.0,10.0,22.0,,71.14325960144569
239634,342324,Henry Pollock,England,Argentina,Back-row,False,baseline,10.94975,3.0,9.0,22.0,,20.28766784439856
120767,187290,Louis Rees-Zammit,Wales,South Africa,Back-three,True,baseline,10.944,2.0,9.0,22.0,,70.98891277609033
103821,175848,Eroni Mawi,Fiji,Scotland,Prop,True,baseline,10.938,3.0,10.0,20.0,,54.77686119291317
242264,213924,Joseph-Aukuso Suaalii,Australia,Italy,Centre,True,baseline,10.9255,3.0,10.0,20.0,,71.83326598371937
252801,350934,Kazuma Ueda,Japan,France,Back-three,True,baseline,10.88125,2.0,10.0,22.0,,71.14325960144569
243190,197892,Blair Murray,Wales,South Africa,Back-three,True,baseline,10.8525,2.0,10.0,21.0,,70.98891277609033
112684,239076,Guy Pepper,England,Argentina,Back-row,False,baseline,10.835,2.0,9.0,22.0,,20.28766784439856
185293,153318,Len Ikitau,Australia,Italy,Centre,True,baseline,10.7965,3.0,10.0,20.0,,71.84993416233883
250678,204228,Kippei Ishida,Japan,France,Back-three,True,baseline,10.77025,2.0,10.0,21.0,,71.09903854231585
239638,229884,Takuro Matsunaga,Japan,France,Back-three,True,baseline,10.75825,2.0,9.0,21.0,,71.14325960144569
240621,164262,Dylan Pietsch,Australia,Italy,Back-three,True,baseline,10.72475,2.0,9.0,21.0,,71.09903854231585
130487,118614,Nacho Brex,Italy,Australia,Centre,True,baseline,10.6785,3.0,10.0,20.0,,71.74815665758946
118531,148644,Ronan Kelleher,Ireland,New Zealand,Hooker,False,baseline,10.6385,3.0,9.0,21.0,,18.591882741537823
196773,130290,Pierre Schoeman,Scotland,Fiji,Prop,True,baseline,10.6275,3.0,9.0,19.0,,55.41174604489791
175403,178038,Elliot Millar-Mills,Scotland,Fiji,Prop,True,baseline,10.60525,3.0,9.0,19.0,,55.352056157853355
123723,164232,Danilo Fischetti,Italy,Australia,Prop,True,baseline,10.5775,3.0,10.0,19.0,,54.89304439003983
143048,118890,Allan Alaalatoa,Australia,Italy,Prop,True,baseline,10.54325,3.0,9.0,19.0,,55.66023761751313
137453,129096,Josh Adams,Wales,South Africa,Back-three,True,baseline,10.5275,2.0,9.0,21.0,,71.06546494920087
236609,231744,Lorenzo Pani,Italy,Australia,Back-three,True,baseline,10.4985,2.0,9.0,21.0,,70.60119905399006
178222,173226,Jock Campbell,Australia,Italy,Back-three,True,baseline,10.45675,2.0,9.0,21.0,,71.09903854231585
174318,134016,Monty Ioane,Italy,Australia,Back-three,True,baseline,10.44375,2.0,9.0,21.0,,70.63340167936838
138016,114534,Henry Slade,England,Argentina,Centre,False,baseline,10.39575,2.0,9.0,21.0,,22.660497270032565
107059,144684,Marco Riccioni,Italy,Australia,Prop,True,baseline,10.29975,3.0,9.0,18.0,,54.89304439003983
255396,421050,Malik Faissal,Italy,Australia,Back-three,True,baseline,10.2895,2.0,9.0,21.0,,70.73740115006211
244760,243636,Barnabe Massa,France,Japan,Hooker,False,baseline,10.2595,3.0,9.0,20.0,,17.265371872888387
143950,172098,Semi Radradra,Fiji,Scotland,Centre,True,baseline,10.21975,2.0,9.0,19.0,,71.15157485662156
235935,208518,Ignacio Ruiz,Argentina,England,Hooker,False,baseline,10.14625,2.0,8.0,20.0,,15.788218270725952
179604,126930,Josua Tuisova,Fiji,Scotland,Centre,True,baseline,10.049,2.0,9.0,19.0,,71.59629898015417
240624,264132,Selestino Ravutaumada,Fiji,Scotland,Centre,True,baseline,9.966,2.0,9.0,18.0,,71.13023727650186
182170,128574,Ryan Elias,Wales,South Africa,Hooker,False,baseline,9.70825,3.0,8.0,18.0,,20.972663621421262
128023,162444,Salesi Rayasi,Fiji,Scotland,Back-three,True,baseline,9.6985,1.0,8.0,20.0,,70.40797771153777
140494,211638,Jiuta Wainiqolo,Fiji,Scotland,Back-three,True,baseline,9.6985,1.0,8.0,20.0,,70.39164404662337
177559,142356,Alex Mitchell,England,Argentina,Scrum-half,False,baseline,9.609,0.0,8.0,21.0,,19.472203407844006
239482,348570,Asher Opoku-Fordjour,England,Argentina,Prop,False,baseline,9.18875,1.0,7.0,20.0,,23.02148974644147
196415,127014,Charlie Ewels,England,Argentina,Second-row,False,baseline,9.15125,2.0,8.0,19.0,,20.791913144810465
130283,137016,Beno Obano,England,Argentina,Prop,False,baseline,9.089,1.0,7.0,20.0,,23.36885051795605
136875,202980,Gianmarco Lucchesi,Italy,Australia,Hooker,False,baseline,8.86775,2.0,8.0,17.0,,20.078925201811074
251199,371742,Hayate Era,Japan,France,Hooker,False,baseline,8.8265,2.0,7.0,17.0,,18.804942084834945
241794,337404,Wallace Sititi,New Zealand,Ireland,Back-row,False,baseline,8.789,2.0,7.0,18.0,,18.529432993778364
240478,263268,Gregor Hiddleston,Scotland,Fiji,Hooker,False,baseline,8.7215,2.0,7.0,17.0,,18.114842986936587
188057,142476,Ben White,Scotland,Fiji,Scrum-half,True,baseline,8.6905,1.0,7.0,18.0,,63.73539812505879
195298,214146,Jamie Dobie,Scotland,Fiji,Scrum-half,True,baseline,8.565,1.0,7.0,17.0,,63.7206124051731
133163,128628,Tomos Williams,Wales,South Africa,Scrum-half,True,baseline,8.386,1.0,7.0,17.0,,63.58266301897615
219485,163734,Ryan Lonergan,Australia,Italy,Scrum-half,True,baseline,8.3455,1.0,7.0,17.0,,63.69215524379309
110891,213144,Stephen Varney,Italy,Australia,Scrum-half,True,baseline,8.2475,1.0,7.0,17.0,,63.19220365260841
136947,161034,Brandon Paenga-Amosa,Australia,Italy,Hooker,False,baseline,8.08975,1.0,7.0,16.0,,18.934245288781376
140735,150960,Naoto Saito,Japan,France,Scrum-half,True,baseline,7.97225,0.0,7.0,17.0,,63.69215524379309
201684,124602,Patrick Tuipulotu,New Zealand,Ireland,Second-row,False,baseline,7.7465,1.0,6.0,15.0,,19.65423011111958
150038,140004,Tyrel Lomax,New Zealand,Ireland,Prop,False,baseline,7.66375,1.0,6.0,16.0,,21.103438937104315
151066,185508,Xavier Numia,New Zealand,Ireland,Prop,False,baseline,7.645,1.0,6.0,16.0,,21.133929787048107
109783,156420,Marco van Staden,South Africa,Wales,Back-row,False,baseline,7.59475,1.0,6.0,16.0,,19.319241089460107
237152,383400,Joaquin Moro,Argentina,England,Back-row,False,baseline,7.59275,1.0,6.0,16.0,,15.805640356255733
216255,209904,Zuriel Togiatama,Fiji,Scotland,Hooker,False,baseline,7.559,1.0,6.0,16.0,,21.066161738272914
193134,136878,Nick Timoney,Ireland,New Zealand,Back-row,False,baseline,7.48425,1.0,6.0,16.0,,17.155044752107486
110905,185646,Ben-Jason Dixon,South Africa,Wales,Back-row,False,baseline,7.47225,1.0,6.0,15.0,,18.189318021942963
132322,224352,Killian Tixeront,France,Japan,Back-row,False,baseline,7.425,1.0,6.0,16.0,,16.148599848464904
202316,171126,Frank Lomani,Fiji,Scotland,Scrum-half,True,baseline,7.3925,0.0,6.0,16.0,,63.07308704513347
143123,206706,Taine Plumtree,Wales,South Africa,Back-row,False,baseline,7.23225,1.0,6.0,15.0,,20.079317798242734
214124,154938,James Botham,Wales,South Africa,Back-row,False,baseline,7.19075,0.0,6.0,15.0,,20.14237513950961
249169,353082,Fehi Fineanganofo,New Zealand,Ireland,Back-three,False,baseline,7.06775,0.0,5.0,16.0,,20.114232454761265
166457,207432,Regis Montagne,France,Japan,Prop,False,baseline,7.0295,0.0,5.0,15.0,,19.15987854603432
245177,353844,Tiennan Costley,Japan,France,Back-row,False,baseline,7.00825,0.0,6.0,15.0,,17.90667182915199
151974,176550,Billy Proctor,New Zealand,Ireland,Centre,False,baseline,6.94275,0.0,5.0,16.0,,21.058039277775606
177800,219930,Mickael Guillard,France,Japan,Second-row,False,baseline,6.83525,1.0,5.0,14.0,,16.31300683670426
147486,117954,Tadhg Beirne,Ireland,New Zealand,Second-row,False,baseline,6.724,0.0,5.0,15.0,,19.23491961228814
170612,156564,Gerhard Steenekamp,South Africa,Wales,Prop,False,baseline,6.71725,0.0,5.0,14.0,,20.29845218675093
246824,342540,Zac Porthen,South Africa,Wales,Prop,False,baseline,6.71225,0.0,5.0,14.0,,18.25338071263033
120076,67848,Michael Leitch,Japan,France,Back-row,False,baseline,6.69675,0.0,5.0,14.0,,19.61740178395636
237233,231840,Ross Vintcent,Italy,Australia,Back-row,False,baseline,6.6865,0.0,5.0,15.0,,17.950398656949737
