engine,rubric,tournament,fold,mae,spearman,mean_capture,slates
C9_calibrated_E4_phase2,six_nations,autumn_internationals,autumn_internationals_2025,7.165250337485963,0.668815860631065,0.7970344936640849,2
C9_calibrated_E4_phase2,six_nations,british_irish_lions,british_irish_lions_2025,5.872885367239649,0.5859951711063464,0.789161395973436,7
C9_calibrated_E4_phase2,six_nations,nations_championship,nations_championship_2026,6.405235695009623,0.6321334765021013,0.722274807508585,2
C9_calibrated_E4_phase2,six_nations,pacific_nations_cup,pacific_nations_cup_2024,7.636877308041587,0.6363753200770783,0.7936253259252943,4
C9_calibrated_E4_phase2,six_nations,pacific_nations_cup,pacific_nations_cup_2025,7.749147664223886,0.6198721508566158,0.7607549857578759,4
C9_calibrated_E4_phase2,six_nations,rugby_championship,rugby_championship_2022,5.413114925897443,0.6251886586733603,0.7956029903041758,6
C9_calibrated_E4_phase2,six_nations,rugby_championship,rugby_championship_2023,5.731473873845285,0.6722748707354826,0.8387552885794888,3
C9_calibrated_E4_phase2,six_nations,rugby_championship,rugby_championship_2024,5.481435870090007,0.6765849380701674,0.8315777604175358,6
C9_calibrated_E4_phase2,six_nations,rugby_championship,rugby_championship_2025,6.159562143624701,0.5808187626583483,0.748971040900343,6
C9_calibrated_E4_phase2,six_nations,rugby_world_cup,rugby_world_cup_2023,6.273020043731297,0.6326125037240184,0.7968442473913023,9
C9_calibrated_E4_phase2,six_nations,six_nations,six_nations_2022,5.450004009977515,0.6561163675718602,0.7854414739057458,5
C9_calibrated_E4_phase2,six_nations,six_nations,six_nations_2023,5.530270136595886,0.7015053417006214,0.8203787237862972,5
C9_calibrated_E4_phase2,six_nations,six_nations,six_nations_2024,5.223101011827454,0.6934632790496885,0.8190248173185479,5
C9_calibrated_E4_phase2,six_nations,six_nations,six_nations_2025,5.98167230184589,0.6494122951458475,0.790572383059767,5
C9_calibrated_E4_phase2,six_nations,six_nations,six_nations_2026,6.0135468079320145,0.6949449321693881,0.8386534315775946,5
C9_calibrated_E4_phase2,six_nations,summer_internationals,summer_internationals_2022,6.239493480570824,0.5708024932625054,0.7161080130616027,5
C9_calibrated_E4_phase2,six_nations,summer_internationals,summer_internationals_2023,5.764026629713289,0.5905236117211546,0.750091173849011,6
C9_calibrated_E4_phase2,six_nations,summer_internationals,summer_internationals_2024,8.185452669135074,0.6212035840491987,0.3014746996374081,2
C9_calibrated_E4_phase2,six_nations,summer_internationals,summer_internationals_2025,6.860474990321996,0.5490688846201418,0.7659746020648821,4
E4_three_empirical_plus_naive_phase2,ncr,autumn_internationals,autumn_internationals_2022,5.71232712634337,0.5258051288836529,0.7003540426269821,5
E4_three_empirical_plus_naive_phase2,ncr,autumn_internationals,autumn_internationals_2024,5.7524367611173535,0.5680082240948741,0.7261623639295725,2
E4_three_empirical_plus_naive_phase2,ncr,autumn_internationals,autumn_internationals_2025,6.833272561686901,0.5125377413619709,0.748853724585358,2
E4_three_empirical_plus_naive_phase2,ncr,british_irish_lions,british_irish_lions_2025,5.857323781998054,0.4956482822556025,0.7387446206594122,7
E4_three_empirical_plus_naive_phase2,ncr,nations_championship,nations_championship_2026,6.309101342683463,0.5647945994675962,0.7144733434057596,2
E4_three_empirical_plus_naive_phase2,ncr,pacific_nations_cup,pacific_nations_cup_2024,7.180043089288855,0.5736049294096506,0.747496306850791,4
E4_three_empirical_plus_naive_phase2,ncr,pacific_nations_cup,pacific_nations_cup_2025,7.465827345608316,0.5677310849501673,0.7594992405484312,4
E4_three_empirical_plus_naive_phase2,ncr,rugby_championship,rugby_championship_2022,5.332689336444295,0.5211720457708076,0.7325784551550752,6
E4_three_empirical_plus_naive_phase2,ncr,rugby_championship,rugby_championship_2023,5.7441565648567705,0.5746142846444114,0.7935932028590571,3
E4_three_empirical_plus_naive_phase2,ncr,rugby_championship,rugby_championship_2024,5.420877244609618,0.6083233762323091,0.7928745484562721,6
E4_three_empirical_plus_naive_phase2,ncr,rugby_championship,rugby_championship_2025,6.16348026316285,0.4990926046697249,0.7030049003263569,6
E4_three_empirical_plus_naive_phase2,ncr,rugby_world_cup,rugby_world_cup_2023,6.18930606334164,0.5553462723600067,0.7491735596122343,9
E4_three_empirical_plus_naive_phase2,ncr,six_nations,six_nations_2022,5.573296271413996,0.533098164230409,0.7353490016587386,5
