engine,rubric,tournament,mae,spearman,mean_capture,slates,mae_raw,mae_calibrated,slates_cal
E4_three_empirical_plus_naive_phase2,ncr,six_nations,5.720733987142756,0.5864023776429702,0.7650653732089472,25,5.720733987142756,5.757479362536118,25
E4_three_empirical_plus_naive_phase2,ncr,summer_internationals,6.299543726761314,0.47492220952950975,0.6377941420521069,17,6.299543726761315,6.356236862247085,17
E4_three_empirical_plus_naive_phase2,six_nations,autumn_internationals,6.212496752798856,0.6321304815959845,0.7567692642934607,9,6.212496752798856,6.295335424609614,9
E4_three_empirical_plus_naive_phase2,six_nations,british_irish_lions,5.8676820505680425,0.5925413318906653,0.7922766670040275,7,5.8676820505680425,5.922638212632878,7
E4_three_empirical_plus_naive_phase2,six_nations,nations_championship,6.419862414284056,0.6285683063779437,0.7262556629892817,2,6.419862414284056,6.414466844778087,2
E4_three_empirical_plus_naive_phase2,six_nations,pacific_nations_cup,7.673924400833988,0.629555617944185,0.780631338938686,8,7.673924400833988,7.698819853680015,8
E4_three_empirical_plus_naive_phase2,six_nations,rugby_championship,5.70817453006603,0.6368955998345063,0.7944448847466894,21,5.70817453006603,5.783455464914038,21
E4_three_empirical_plus_naive_phase2,six_nations,rugby_world_cup,6.264257640074111,0.6360062470580622,0.798005398991161,9,6.264257640074111,6.293835254340689,9
E4_three_empirical_plus_naive_phase2,six_nations,six_nations,5.639260659748454,0.6795287431398926,0.8099180501625196,25,5.639260659748454,5.7000337108556565,25
E4_three_empirical_plus_naive_phase2,six_nations,summer_internationals,6.475774627239396,0.5796462846928936,0.6929613909589948,17,6.475774627239396,6.564296160146584,17
empirical_empirical_t3_eb_off_ebk_head_only,ncr,autumn_internationals,6.038765895855128,0.5266824456005272,0.6868696558061029,9,6.038765895855128,6.122130163738664,9
empirical_empirical_t3_eb_off_ebk_head_only,ncr,british_irish_lions,5.904866002952105,0.491831850718152,0.7360700980791142,7,5.904866002952105,5.95389918820784,7
empirical_empirical_t3_eb_off_ebk_head_only,ncr,nations_championship,6.346291737942527,0.5635997786771648,0.696067664091656,2,6.346291737942528,6.364808369110699,2
empirical_empirical_t3_eb_off_ebk_head_only,ncr,pacific_nations_cup,7.286826717090491,0.5651069350938992,0.7586847641352964,8,7.286826717090491,7.351123810506698,8
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_championship,5.625137928430483,0.5462862627857381,0.7542352795051673,21,5.625137928430483,5.6922994009473005,21
empirical_empirical_t3_eb_off_ebk_head_only,ncr,rugby_world_cup,6.252331966515679,0.5449873295958574,0.7320779065003308,9,6.252331966515679,6.281721137129868,9
empirical_empirical_t3_eb_off_ebk_head_only,ncr,six_nations,5.73042020623196,0.5826631161724444,0.7592963145977397,25,5.73042020623196,5.791049368010544,25
empirical_empirical_t3_eb_off_ebk_head_only,ncr,summer_internationals,6.367752990219187,0.45549222655537736,0.6193643735905537,17,6.367752990219187,6.445487745618406,17
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,autumn_internationals,6.272850618764358,0.6269607730306509,0.7350648830198873,9,6.272850618764358,6.380489687298273,9
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,british_irish_lions,5.958764682860691,0.5858329819672464,0.7958751828363756,7,5.958764682860691,6.003427409496526,7
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,nations_championship,6.450281174808724,0.6285465782124506,0.7000653110021702,2,6.450281174808724,6.4519497855360814,2
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,pacific_nations_cup,7.642008362076025,0.6280569357471841,0.7956776808309554,8,7.642008362076025,7.726777916091662,8
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,rugby_championship,5.7258204565747075,0.6356080547071529,0.7989921586382026,21,5.7258204565747075,5.796721901846372,21
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,rugby_world_cup,6.415228495062808,0.6214577553579157,0.7675142074585144,9,6.415228495062808,6.431720753629072,9
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,six_nations,5.675032222743133,0.6764031264935665,0.8030207247609096,25,5.675032222743133,5.751251357538797,25
empirical_empirical_t3_eb_off_ebk_head_only,six_nations,summer_internationals,6.558651039217926,0.5642588548893772,0.6888174569072947,17,6.558651039217925,6.650623569890516,17
empirical_only,ncr,autumn_internationals,6.00559987686273,0.5214344274163032,0.709364158022539,9,6.00559987686273,6.033090309360154,9
empirical_only,ncr,british_irish_lions,5.851186337507429,0.48981387986480357,0.7386868301522521,7,5.851186337507429,5.867783400884547,7
empirical_only,ncr,nations_championship,6.292544247930735,0.5673558973545851,0.7021123753254683,2,6.292544247930735,6.3108023176352965,2
empirical_only,ncr,pacific_nations_cup,7.299393172913819,0.5615047708319376,0.7680002722570078,8,7.299393172913819,7.359999207401131,8
empirical_only,ncr,rugby_championship,5.705273771754427,0.5354739892657052,0.7470839333149917,21,5.705273771754427,5.728969437482064,21
empirical_only,ncr,rugby_world_cup,6.162953985125362,0.5539154554123616,0.7533306389767562,9,6.162953985125362,6.1807996844328805,9
empirical_only,ncr,six_nations,5.771814977897079,0.5823558315959544,0.7619511861992606,25,5.771814977897079,5.792774936876182,25
empirical_only,ncr,summer_internationals,6.3761457478090104,0.45574678941354974,0.6301919038134904,17,6.3761457478090104,6.405019632359959,17
empirical_only,six_nations,autumn_internationals,6.305295472437951,0.6199850625008183,0.7517419859023721,9,6.305295472437951,6.345048617491461,9
empirical_only,six_nations,british_irish_lions,5.907267603012229,0.5889494912619806,0.7892543570345881,7,5.907267603012229,5.910206117517204,7
empirical_only,six_nations,nations_championship,6.409542783241825,0.6286955069382634,0.7274906981172949,2,6.409542783241825,6.423983078912476,2
empirical_only,six_nations,pacific_nations_cup,7.7177057040504575,0.6185446948559008,0.781746883008801,8,7.717705704050457,7.778912711580007,8
empirical_only,six_nations,rugby_championship,5.831539940462083,0.6255626284590116,0.797106437694128,21,5.831539940462083,5.854940747923236,21
empirical_only,six_nations,rugby_world_cup,6.310108229209903,0.6322588065697846,0.7886852907314869,9,6.310108229209902,6.313082298142425,9
empirical_only,six_nations,six_nations,5.727243611033059,0.673334804979907,0.804280498156404,25,5.727243611033059,5.762687481291821,25
empirical_only,six_nations,summer_internationals,6.60215179406273,0.5649729646537114,0.6916470831602988,17,6.60215179406273,6.633746860227974,17
naive_comparator,ncr,autumn_internationals,6.3912723373936355,0.4815994874209539,0.6449931318993959,9,6.391272337393636,6.543635883077254,9
naive_comparator,ncr,british_irish_lions,6.003435342259496,0.4450628819928866,0.6927636356004261,7,6.003435342259496,6.098096088015767,7
naive_comparator,ncr,nations_championship,6.812753164145118,0.48004037849645836,0.5277610248308127,2,6.812753164145118,6.793169471777706,2
naive_comparator,ncr,pacific_nations_cup,7.543702795923519,0.5435871617898438,0.7056367960240371,8,7.543702795923519,7.5810368504948435,8
naive_comparator,ncr,rugby_championship,5.908834663243085,0.4775359125527225,0.6825150267309698,21,5.908834663243085,6.070377154486007,21
naive_comparator,ncr,rugby_world_cup,6.556154523109179,0.4704220931838445,0.6507537838628017,9,6.556154523109179,6.628760504152818,9
naive_comparator,ncr,six_nations,5.922628004135478,0.5321774792775014,0.7079008452099118,25,5.922628004135478,6.010775948517374,25
naive_comparator,ncr,summer_internationals,6.4583431752149005,0.4443362037364398,0.5980976481467842,17,6.4583431752149005,6.663901359438611,17
naive_comparator,six_nations,autumn_internationals,6.592276212819447,0.5833528982424784,0.6957772997358824,9,6.592276212819447,6.814276587637287,9
