id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,fantasy_id,expected_points,starter_exp,supersub_exp
252801,Kazuma Ueda,Japan,2,Back Three,3.5,0.3,P,Ireland,True,4,1751,-19.8,0.998,12.17,80.0,252801,11.75475,11.75475,5.877375
185293,Len Ikitau,Australia,2,Centre,6.5,7.6,P,France,True,52,2980,-4.9,1.0,15.78,74.9,185293,13.52625,13.52625,6.763125
117823,Matias Alemanno,Argentina,2,Lock,6.0,2.2,P,Wales,True,39,2411,20.2,1.0,11.08,61.6,117823,16.1225,16.1225,8.06125
127095,Santiago Grondona,Argentina,2,Loose Forward,5.5,1.0,P,Wales,True,28,1689,20.2,1.0,12.96,63.0,127095,16.46925,16.46925,8.234625
229857,Jeremy Williams,Australia,2,Lock,5.5,6.8,P,France,True,26,2519,-4.9,1.0,12.76,69.0,229857,18.088,18.088,9.044
203381,James Ryan,Ireland,1,Lock,5.5,5.6,P,Japan,False,59,2829,19.8,0.998,8.72,62.6,203381,14.78,14.78,7.39
120076,Michael Leitch,Japan,2,Loose Forward,5.0,0.5,B,Ireland,True,28,2470,-19.8,0.998,19.32,29.3,120076,9.928,9.928,29.784000000000002
195298,Jamie Dobie,Scotland,1,Scrum Half,5.0,4.1,P,South Africa,False,21,2165,-25.7,1.0,16.59,72.3,195298,15.338,15.338,7.669
243508,Tom Jordan,Scotland,1,Centre,4.5,3.0,B,South Africa,False,19,3567,-25.7,1.0,15.03,14.1,243508,3.83475,3.83475,11.50425
156422,Josh Nasser,Australia,2,Hooker,4.0,3.8,P,France,True,13,945,-4.9,1.0,22.2,52.4,156422,16.71025,16.71025,8.355125
202570,Tom Staniforth,France,1,Lock,3.5,4.9,B,Australia,False,1,2015,4.9,1.0,14.19,22.3,202570,7.33625,7.33625,22.00875
196853,Thomas Clarkson,Ireland,1,Prop,3.5,0.3,P,Japan,False,15,0,19.8,0.998,12.35,53.5,196853,12.619,12.619,6.3095
229690,Jan-Hendrik Wessels,South Africa,2,Prop,3.5,1.0,B,Scotland,True,11,1657,25.7,1.0,14.52,21.9,229690,6.31375,6.31375,18.94125
143492,Damian McKenzie,New Zealand,2,Fly Half,8.5,11.9,P,Italy,True,53,2888,33.5,0.962,29.58,77.7,143492,25.587,25.587,12.7935
129616,Fraser McReight,Australia,2,Loose Forward,7.0,19.8,P,France,True,40,3080,-4.9,1.0,19.86,75.9,129616,23.06775,23.06775,11.533875
134796,Joe Heyes,England,1,Prop,6.5,2.9,P,Fiji,False,23,3006,2.8,1.0,13.42,61.4,134796,13.18425,13.18425,6.592125
189982,Santiago Carreras,Argentina,2,Back Three,6.5,13.9,P,Wales,True,62,3844,20.2,1.0,19.34,69.9,189982,16.4575,16.4575,8.22875
110170,Kyle Steyn,Scotland,1,Back Three,6.5,12.3,P,South Africa,False,33,3388,-25.7,1.0,17.98,74.3,110170,16.91775,16.91775,8.458875
241794,Wallace Sititi,New Zealand,2,Loose Forward,6.5,4.8,P,Italy,True,20,1343,33.5,0.962,24.64,70.9,241794,22.522,22.522,11.261
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,P,Japan,False,54,1820,19.8,0.998,20.11,56.9,118531,15.78025,15.78025,7.890125
143048,Allan Alaalatoa,Australia,2,Prop,5.5,4.9,P,France,True,52,1490,-4.9,1.0,16.15,53.8,143048,14.41125,14.41125,7.205625
226250,Isoa Nasilasila,Fiji,2,Lock,4.5,3.6,P,England,True,31,2534,-2.8,1.0,8.36,72.1,226250,14.33225,14.33225,7.166125
189326,Marcus Smith,England,1,Fly Half,4.5,2.2,P,Fiji,False,60,3883,2.8,1.0,22.38,76.0,189326,20.14175,20.14175,10.070875
178772,Gonzalo Garcia,Argentina,2,Scrum Half,4.0,1.8,P,Wales,True,18,1537,20.2,1.0,12.63,54.1,178772,11.12925,11.12925,5.564625
108021,Jefferson Poirot,France,1,Prop,4.0,2.7,B,Australia,False,1,2912,4.9,1.0,14.37,24.2,108021,6.59625,6.59625,19.78875
123723,Danilo Fischetti,Italy,1,Prop,5.5,15.7,P,New Zealand,False,59,2483,-33.5,0.962,17.68,56.1,123723,14.93675,14.93675,7.468375
136947,Brandon Paenga-Amosa,Australia,2,Hooker,4.0,0.3,B,France,True,25,1564,-4.9,1.0,18.19,20.2,136947,7.05275,7.05275,21.15825
239229,Hugo Auradou,France,1,Lock,4.0,4.0,B,Australia,False,13,3206,4.9,1.0,9.62,17.5,239229,5.16425,5.16425,15.492750000000001
144545,Ben Carter,Wales,1,Lock,4.0,1.0,P,Argentina,False,20,2563,-20.2,1.0,17.32,64.3,144545,20.865,20.865,10.4325
166930,Peni Ravai Kovekalou,Fiji,2,Prop,3.5,0.5,B,England,True,23,0,-2.8,1.0,12.94,27.4,166930,6.232,6.232,18.696
208272,Niccolo Cannone,Italy,1,Lock,6.5,7.7,P,New Zealand,False,59,2924,-33.5,0.962,14.91,72.0,208272,19.211,19.211,9.6055
200003,Pablo Matera,Argentina,2,Loose Forward,6.5,11.6,B,Wales,True,57,2413,20.2,1.0,16.49,21.9,200003,7.34075,7.34075,22.02225
214124,James Botham,Wales,1,Loose Forward,6.0,0.3,P,Argentina,False,22,1565,-20.2,1.0,21.51,73.4,214124,23.99525,23.99525,11.997625
215963,Guido Petti,Argentina,2,Lock,5.5,4.1,P,Wales,True,46,0,20.2,1.0,9.69,69.1,215963,13.9845,13.9845,6.99225
110319,Nicky Smith,Wales,1,Prop,4.5,0.5,B,Argentina,False,29,2646,-20.2,1.0,14.92,33.1,110319,7.922,7.922,23.766
