Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
N. Smith,Wales,Centre,5,0,135,4,0,0,0,0,0,0,8,0,24,0,0,2,0,0,9.8
C. Healy,Ireland,Centre,3,0,31,2,1,1,0,0,0,0,2,0,4,0,0,0,0,0,9.7
C. Baille,France,Centre,5,0,60,0,1,0,0,0,0,0,8,0,29,1,0,1,0,0,9.6
J. Ryan,Ireland,Wing,5,0,39,0,0,0,0,0,0,0,10,0,27,1,1,3,0,0,9.6
G. Thomas,Wales,Centre,5,0,35,0,0,0,0,0,0,0,7,0,46,0,0,6,0,0,9.6
A. Wainwright,Wales,Fly-half,5,0,127,1,0,1,0,0,0,0,4,0,17,0,0,2,0,0,9.4
G. Ringrose,Ireland,Back Row,4,0,83,4,0,0,0,0,0,0,0,1,25,0,0,2,0,1,9.3
T. Rogers,Wales,Back Row,4,0,88,2,2,1,0,0,0,0,0,0,13,0,0,1,0,0,9.3
R. Baird,Ireland,Fly-half,4,0,68,4,1,0,0,0,0,0,5,0,17,0,0,2,0,0,9.0
A. Roumat,France,Wing,3,0,38,1,0,0,0,0,0,0,7,0,9,0,1,1,0,0,9.0
W. John,Wales,Centre,3,0,35,0,1,0,0,0,0,0,2,0,28,0,0,3,1,0,9.0
J. Heyes,England,Centre,5,0,16,0,0,1,0,0,0,0,5,0,24,0,0,1,0,0,8.8
G. Brown,Scotland,Fly-half,5,0,102,2,0,0,0,0,0,0,13,0,21,0,0,1,0,0,8.8
M. Page-Relo,Italy,Scrum-half,5,0,108,6,2,0,1,0,0,0,0,1,10,0,0,1,0,0,8.6
D. Edwards,Wales,Number 8,2,0,68,3,0,0,0,0,0,0,0,0,7,0,0,1,0,0,8.5
G. Horne,Scotland,Scrum-half,2,0,23,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,8.0
L. Marin,Italy,Number 8,1,0,36,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0
H. Thomas,Wales,Centre,3,0,29,0,0,0,0,0,0,0,5,0,20,0,0,2,0,0,8.0
U. Atonio,France,Centre,5,0,52,0,1,0,0,0,0,0,8,0,22,1,0,1,0,0,7.8
K. Rowe,Scotland,Back Row,3,0,75,6,1,0,0,0,0,0,0,0,3,0,0,1,0,0,7.7
F. Baxter,England,Centre,5,0,30,0,0,1,0,0,0,0,4,0,19,0,0,3,0,0,7.4
T. Williams,Wales,Scrum-half,5,0,41,2,2,0,2,0,0,0,0,0,20,0,0,2,0,0,7.2
F. Thomas,Wales,Wing,2,0,32,0,0,0,0,0,0,0,3,0,10,0,1,3,1,0,7.0
E. James,Wales,Back Row,1,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0
J. Crowley,Ireland,Number 8,5,0,74,3,0,0,2,3,0,0,0,0,10,0,0,1,0,0,6.8
D. Aldegheri,France,Centre,3,0,9,0,0,0,0,0,0,0,6,0,15,0,0,1,0,0,6.7
