slate,competition,season,candidate,comparator,unknown_selected,delta_total,delta_xv,delta_captain_extra,delta_super_sub,delta_mae
six_nations_2026_r5,six_nations,2026,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,0.15354486648440613
ncr_2026_r1,ncr,2026,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0
ncr_2026_r2,ncr,2026,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.003259896968065945
ncr_2026_r3,ncr,2026,role_calibration,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.24935352703377944
six_nations_2025_r1,six_nations,2025,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0004950119758841964
six_nations_2025_r2,six_nations,2025,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0028488703301947638
six_nations_2025_r3,six_nations,2025,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0015365775686655425
six_nations_2025_r4,six_nations,2025,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,0.00024948994818618786
six_nations_2025_r5,six_nations,2025,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0001618202113631284
six_nations_2026_r1,six_nations,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.000654192054985181
six_nations_2026_r2,six_nations,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0008161324724760277
six_nations_2026_r3,six_nations,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0019532423530117526
six_nations_2026_r4,six_nations,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,2.8027403576658116e-05
six_nations_2026_r5,six_nations,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0006698044917978763
ncr_2026_r1,ncr,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.003358951864806059
ncr_2026_r2,ncr,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.002906166796238452
ncr_2026_r3,ncr,2026,kicking_role_gate,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.001839215278801376
six_nations_2025_r1,six_nations,2025,role_calibration,incumbent,0,48.0,-3.0,-6.0,57.0,-0.9073826847204307
six_nations_2025_r2,six_nations,2025,role_calibration,incumbent,0,0.0,-19.0,-11.0,30.0,0.35873285958463264
six_nations_2025_r3,six_nations,2025,role_calibration,incumbent,0,-35.0,15.0,-26.0,-24.0,0.33456363986325943
six_nations_2025_r4,six_nations,2025,role_calibration,incumbent,0,-32.0,-51.0,-8.0,27.0,-0.3118250594265062
