fixture_id,player_id,team,player_name,date,competition_level,previous_minutes,previous_available__minutes,previous_provenance__minutes,minutes,available__minutes,provenance__minutes,reason
8290249,149706,New Zealand,Asafo Aumua,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290249,157050,New Zealand,Shannon Frizell,2021-11-06,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290258,164268,Australia,Tate McDermott,2021-11-07,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290258,142002,Scotland,Adam Hastings,2021-11-07,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290267,122046,England,Sam Simmonds,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290267,175890,England,Trevor Davison,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290267,213198,England,Raffi Quirke,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290276,139662,New Zealand,Akira Ioane,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290276,140004,New Zealand,Tyrel Lomax,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290276,144144,New Zealand,Karl Tu'inukuafe,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290294,130596,Argentina,Ignacio Calles,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290294,201528,Argentina,Lucio Cinti Luna,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290294,118062,Italy,Pietro Ceccarelli,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290294,180450,Italy,Alessandro Fusco,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
8290816,220632,Portugal,Duarte Torgal,2021-11-13,international,0,True,event_log,,False,unobserved_entry_time,Positive observed on-field activity; no recorded substitute entry time
